match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,1,Paul Felker,100.00%,698.5656,85.27,124.17%,Carry Optics,M,,MINOR,TY107123,116,26,6,1,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,2,Pete Kirchner,81.13%,566.7601,103.18,101.20%,Carry Optics,A,,MINOR,TY105743,103,41,5,,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,3,Marlonie Pors,81.11%,566.6267,109.66,119.85%,Open,C,Law Enforcement,MAJOR,,103,39,6,1,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,4,Randy Callison,79.05%,552.2019,103.46,113.78%,PCC,A,Senior,MINOR,A14418,101,42,5,1,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,5,Jon Baguio,78.34%,547.2374,102.75,114.46%,Open,C,,MAJOR,TY101177,101,34,9,5,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,6,Desmond Jackson,72.92%,509.3648,113.77,91.46%,Carry Optics,B,,MINOR,TY89242,106,37,6,,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,7,Aaron Gillory,72.79%,508.4998,108.12,91.04%,Carry Optics,B,Law Enforcement,MINOR,TY144826,107,34,6,2,,1,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,8,Chev Jacot,68.07%,475.5232,116.17,124.17%,Limited Optics,U,,MINOR,TY72378,117,23,5,4,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,9,Pat Byrne,67.80%,473.6464,126.52,85.17%,Carry Optics,B,Super Senior,MINOR,FY93921,121,24,2,2,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,10,Ray Fishel,65.09%,454.7025,97.04,95.19%,PCC,B,Senior,MINOR,A92443,100,40,3,6,,,1,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,11,Ronald Gillory,63.01%,440.1602,152.07,87.34%,PCC,B,,MINOR,TY83291,130,18,1,,,,,
10397d19-29f2-4d7c-a03d-ecae85033e65,Bayou City Monthly June 11 at Oilfield Sports Complex,2023-06-11,12,Abe Valdez,55.77%,389.6246,113.93,80.90%,Open,C,,MINOR,A148541,109,28,6,6,,,6,
