match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,1,Bobby Ivester,100.00%,728.9886,86.40,105.40%,Open,M,,MAJOR,A101336,109,42,4,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,2,Chris Snow,99.88%,728.1335,83.67,105.26%,Open,M,,MAJOR,TY107262,117,28,9,3,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,3,Duane Mendoza,94.70%,690.3356,95.97,99.85%,Open,B,,MAJOR,X,118,34,5,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,4,Paul Felker 1,92.53%,674.5262,96.38,103.25%,Carry Optics,M,,MINOR,TY107123,130,26,,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,5,Wade Pruetz,91.83%,669.4159,90.57,96.77%,Open,A,Senior,MAJOR,TY79055,113,36,4,4,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,6,Gil Yolo,90.76%,661.6512,95.93,95.59%,Open,M,,MAJOR,L5228,130,23,1,3,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,7,Hongli Quan,90.04%,656.4107,101.17,100.34%,Carry Optics,A,,MINOR,A121764,141,14,1,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,8,Travis McKenzie,89.79%,654.5283,98.06,100.08%,Carry Optics,A,,MINOR,TY139201,130,24,2,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,9,Ralph Migrino,89.75%,654.2742,96.15,99.85%,Carry Optics,B,,MINOR,0,133,21,,3,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,10,Craig Bellamy,89.09%,649.4893,92.14,110.44%,Single Stack,M,Law Enforcement,MAJOR,TY54824,111,38,4,4,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,11,Brandon Foss,87.34%,636.6794,104.08,97.02%,Carry Optics,M,,MINOR,L5142,139,15,2,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,12,Mike Junco 1,86.88%,633.3294,99.29,96.62%,Carry Optics,M,"Senior, Law Enforcement",MINOR,TY34819,122,31,3,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,13,Andy Chen,85.92%,626.3204,96.83,95.90%,Carry Optics,A,,MINOR,A86721,125,26,3,3,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,14,August Balagtas 1,84.72%,617.6157,106.21,89.28%,Open,M,,MAJOR,L3674,125,31,,1,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,15,Jason Wells,83.18%,606.3368,101.84,92.75%,Carry Optics,A,,MINOR,L5218,118,33,5,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,16,Zachary Ralston,82.39%,600.6237,107.77,91.70%,Carry Optics,B,,MINOR,A123081,129,26,1,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,17,Santiago Labos 1,81.92%,597.1888,90.05,86.36%,Open,A,,MAJOR,A100335,110,33,6,8,,,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,18,John Week,81.71%,595.6723,112.25,86.17%,Open,X,,MAJOR,X,124,29,4,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,19,Andrew Whitley,80.59%,587.4874,100.09,84.99%,Open,A,,MAJOR,TY106649,102,43,7,5,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,20,Jorge Cahas,80.32%,585.5391,107.91,84.68%,Open,B,Senior,MAJOR,F-44522,112,40,3,2,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,21,Chez Chike-Udenze,80.05%,583.5321,98.46,84.37%,Open,U,,MAJOR,A138598,115,32,5,5,,3,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,22,Roman Gwiscz,79.83%,581.9667,112.97,88.78%,Carry Optics,A,,MINOR,L4670,131,25,1,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,23,Khoa Nguyen,78.90%,575.1460,108.80,88.02%,Carry Optics,M,Law Enforcement,MINOR,A117224,109,45,3,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,24,Janice Pacleb 1,78.55%,572.6273,112.50,82.84%,Open,B,Lady,MAJOR,Ty 75597,119,34,2,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,25,Arnold Gee,76.00%,554.0545,114.31,80.13%,Open,B,Senior,MAJOR,Ty103519,104,48,2,3,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,26,Franz Sanchez,75.26%,548.6442,118.95,108.17%,Production,A,,MINOR,TY123776,132,24,,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,27,AJ Jackson,75.26%,548.6336,92.24,106.05%,PCC,A,,MINOR,A81745,103,44,2,8,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,28,Joey Espanola,73.72%,537.3787,123.60,77.75%,Open,C,Senior,MAJOR,TY89884,120,32,5,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,29,Don Sanders,73.65%,536.8936,117.83,102.24%,Limited,A,Senior,MAJOR,FY46389,114,33,8,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,30,Matt Lem,72.15%,525.9905,109.15,100.38%,Limited,M,,MAJOR,FY34763,105,40,7,5,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,31,Chev Jacot,71.16%,518.7246,118.65,74.81%,Open,B,,MAJOR,TY72378,128,22,4,3,,2,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,32,Hongxu Wang,70.95%,517.2504,135.05,79.09%,Carry Optics,B,,MINOR,A141531,146,9,2,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,33,Steven McNamara,70.58%,514.5006,126.85,78.63%,Carry Optics,B,Senior,MINOR,A75212,125,32,,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,34,Jingle Shi,70.10%,510.9860,130.64,78.09%,Carry Optics,U,,MINOR,A139327,134,21,1,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,35,Rommel Mercado,69.43%,506.1392,123.92,96.98%,Limited,B,Foreign,MAJOR,Ty70687,90,59,6,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,36,CHAN WILLIAM,69.07%,503.4935,95.58,77.42%,Carry Optics,B,,MINOR,0,106,36,5,10,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,37,Ridong Wen,67.95%,495.3214,119.68,75.79%,Carry Optics,B,,MINOR,A99651,127,25,1,4,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,38,Drew Yang,67.78%,494.1398,132.77,97.51%,Production,C,,MINOR,FY138478,134,22,,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,39,Jarrett Grimes,67.60%,492.7880,109.98,75.13%,Carry Optics,B,,MINOR,A140749,118,30,3,6,,,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,40,Pete Kirchner,67.30%,490.6248,125.84,74.88%,Carry Optics,A,,MINOR,TY105743,116,36,3,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,41,John Brunkhorst,66.98%,488.3003,119.13,74.89%,Carry Optics,B,,MINOR,A116144,122,28,5,2,,3,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,42,Gary Wu,66.73%,486.4195,128.31,92.90%,Limited,B,Senior,MAJOR,L2998,116,33,5,3,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,43,Marlon Poralan,66.43%,484.2746,125.91,69.99%,Open,D,Law Enforcement,MAJOR,Ty1234,113,36,4,4,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,44,Robert Bui,65.60%,478.1885,115.68,73.20%,Carry Optics,B,,MINOR,A103016,120,29,2,6,,1,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,45,Rene Zalamea 2,63.06%,459.6978,120.59,66.37%,Open,C,Senior,MAJOR,A66891,107,37,7,6,,1,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,46,Michael Pontious,61.96%,451.7092,136.79,68.83%,Carry Optics,B,Senior,MINOR,fy94575,119,35,1,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,47,Jack Liu,61.72%,449.9094,119.43,88.35%,PCC,B,Law Enforcement,MINOR,ty130790,109,38,4,6,,,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,48,Guanwu “Berb” Li,60.59%,441.7019,153.38,67.46%,Carry Optics,U,,MINOR,A137005,142,14,1,,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,49,Brett Dempsey,60.17%,438.5969,137.94,66.89%,Carry Optics,C,,MINOR,L5408,116,35,4,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,50,Kim Ivester,59.70%,435.1751,122.35,63.06%,Open,B,Lady,MAJOR,L4935,100,41,6,10,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,51,Eric Mccampbell,59.66%,434.8814,142.07,83.18%,Limited,B,Senior,MAJOR,A14332,119,30,3,5,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,52,Carlos Escandon,59.62%,434.6561,148.04,75.34%,Single Stack,B,Super Senior,MAJOR,L2590,129,24,2,2,,2,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,53,Pocholo Dimayuga,59.29%,432.2178,121.07,82.58%,Limited,C,,MAJOR,A106236,104,37,9,7,,3,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,54,Pat Byrne,59.06%,430.5413,126.71,73.12%,Single Stack,B,Super Senior,MINOR,Fy93921,105,41,7,4,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,55,Jun Wu,58.80%,428.6198,156.65,65.16%,Carry Optics,B,,MINOR,A104927,138,17,1,1,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,56,Antonio Tormis,58.78%,428.5117,124.40,65.49%,Carry Optics,B,,MINOR,A124958,100,48,3,6,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,57,Jonathan Backof,57.99%,422.7645,133.58,73.54%,Single Stack,B,,MINOR,L5308,118,30,3,6,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,58,Karys Bellamy,56.69%,413.2494,140.51,63.15%,Carry Optics,D,"Lady, Junior",MINOR,TY130774,115,35,4,3,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,59,Amber Chike-Udenze,55.87%,407.3214,145.18,59.01%,Open,U,Lady,MAJOR,A138974,82,59,14,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,60,Anthony Smallwood 2,55.65%,405.6471,132.78,58.70%,Open,C,Senior,MAJOR,TY94508,111,26,12,8,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,61,David Young,53.55%,390.4051,146.46,59.44%,Carry Optics,C,,MINOR,Ty130791,110,37,6,4,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,62,Rudy Widiaman,53.50%,390.0256,140.20,59.30%,Carry Optics,U,,MINOR,0,123,24,6,4,,2,3,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,63,Robbie Boettcher,53.15%,387.4501,140.57,58.68%,Carry Optics,C,,MINOR,A139912,127,21,1,8,,,4,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,64,Ramil Villanueva,52.65%,383.7884,126.04,58.75%,Carry Optics,D,Junior,MINOR,A110261,105,38,5,9,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,65,Waltz Noguerra,51.16%,372.9600,162.92,57.02%,Carry Optics,D,Junior,MINOR,A137731,118,35,2,2,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,66,Tom Donahue 1,49.02%,357.3309,159.71,71.76%,PCC,B,Super Senior,MINOR,TY69009,132,21,,4,,4,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,67,Wei Zhang,47.96%,349.6531,154.61,53.69%,Carry Optics,D,,MINOR,FY140383,107,43,2,5,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,68,Jack Li,46.77%,340.9639,150.71,51.97%,Carry Optics,U,,MINOR,A145492,112,32,6,7,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,69,Devin Yolo,46.68%,340.3135,150.90,112.14%,Revolver,B,,MINOR,A112987,114,33,2,8,,2,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,70,Jing Bedro,46.58%,339.5712,143.80,51.93%,Carry Optics,C,,MINOR,A,116,24,6,11,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,71,Nathan Bridges,46.17%,336.5593,161.15,51.42%,Carry Optics,C,,MINOR,,109,35,6,7,,,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,72,Duane Bellamy,41.81%,304.8092,135.34,46.52%,Carry Optics,C,,MINOR,A133284,100,38,5,14,,1,,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,73,Gary Brisco,40.74%,297.0107,187.95,43.01%,Open,D,Super Senior,MINOR,FY73704,121,27,4,5,,,1,
12fbe741-5a08-437c-9fe4-34035f069f83,GPS USPSA November 2022,2022-11-27,74,Page Brunkhorst,40.60%,295.9625,177.10,45.34%,Carry Optics,D,Senior,MINOR,L4903,112,30,9,6,,2,,
