match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,1,Scott Reeh,100.00%,748.0145,108.54,115.00%,PCC,M,,MINOR,A91497,137,22,2,,,,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,2,Albert Montanez,99.63%,745.2826,107.94,106.47%,Open,M,,MAJOR,TY101554,125,33,2,1,,1,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,3,Gil Yolo,94.29%,705.2875,109.58,100.76%,Open,A,,MAJOR,A100714,98,53,8,2,,1,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,4,Kevin Bunurai,90.78%,679.0315,112.24,108.87%,Carry Optics,M,,MINOR,TY105111,121,34,5,1,,,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,5,Wade Pruetz,90.06%,673.6656,118.80,96.24%,Open,A,,MAJOR,TY79055,124,31,3,3,,,1,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,6,August Balagtas,86.70%,648.5571,118.70,92.65%,Open,M,,MAJOR,L3674,100,52,8,1,,,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,7,Brandon Foss,85.80%,641.8316,116.61,103.22%,Carry Optics,A,,MINOR,FY92765,121,36,2,2,,,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,8,Waldo Samano,84.96%,635.5154,112.97,102.08%,Carry Optics,M,,MINOR,TY87973,122,31,5,3,,1,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,9,Paul Felker,84.80%,634.3501,126.98,101.80%,Carry Optics,M,,MINOR,TY107123,129,31,1,,,,,
17cb3459-c8da-4a87-ad7c-1e17436ea0b8,GPS USPSA April 2021,2021-04-25,10,Devin Yolo,82.91%,620.1864,118.42,88.60%,Open,U,,MAJOR,a112987,104,49,3,5,,,,
