match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,1,Jason Brinkley 2,100.00%,480.2804,75.36,103.00%,Limited,,,MAJOR,,71,28,3,1,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,2,Jerry Bedro,98.43%,472.7613,76.46,101.92%,PCC,,,MINOR,,78,22,3,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,3,August Balagtas 2,96.25%,462.2928,82.10,103.00%,Open,,,MAJOR,,75,27,1,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,4,Scott Reeh,89.14%,428.1441,85.87,92.87%,PCC,,,MINOR,,83,19,,1,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,5,Garry Newton 2,82.10%,394.3241,85.19,85.28%,PCC,,,MINOR,,77,21,3,2,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,6,joel broughton,73.90%,354.9285,105.94,77.02%,PCC,,,MINOR,,94,9,,,,,1,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,7,Alberto Ramirez 2,70.33%,337.7890,115.36,73.00%,Limited,,,MAJOR,,76,25,1,1,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,8,Jon Baguio,63.94%,307.0766,97.12,92.81%,Carry Optics,,,MINOR,,76,20,2,5,,1,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,9,Chuck Hain,60.27%,289.4410,113.89,62.93%,PCC,,,MINOR,,85,13,1,4,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,10,Jeffrey Polk,60.01%,288.2274,115.15,87.82%,Carry Optics,,,MINOR,,71,28,2,2,,1,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,11,Gary Wu 2,57.88%,278.0078,131.53,92.50%,Production,,,MINOR,,77,20,2,4,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,12,Jim Havens,55.70%,267.4977,115.51,81.37%,Carry Optics,,,MINOR,,81,17,,5,,1,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,13,David ChowingDown,54.97%,264.0072,106.77,57.54%,Open,,,MAJOR,,62,29,4,8,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,14,Andrew Whitley,53.80%,258.3693,126.55,55.86%,Limited,,,MAJOR,,76,18,4,5,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,15,Herman Waddy,51.17%,245.7401,137.33,84.31%,Production,,,MINOR,,81,18,2,2,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,16,Bill Kinstley,39.69%,190.6325,159.48,41.53%,Limited,,,MAJOR,,75,20,2,6,,1,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,17,Dan Brodt 2,39.16%,188.0553,113.24,39.96%,Limited,,,MINOR,,54,31,9,9,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,18,John Turk 2,38.00%,182.5221,157.77,64.46%,Production,,,MINOR,,68,20,9,6,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,19,Lars Nelson 2,36.95%,177.4587,180.94,61.87%,Production,,,MINOR,,85,13,,5,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,20,Brady Harnage 2,23.07%,110.7826,167.92,40.71%,Production,U,,MINOR,,50,33,9,11,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,21,Mark Olson 2,19.56%,93.9562,209.35,32.50%,Production,,,MINOR,,62,25,3,13,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,22,Matthew Santiago 2,13.92%,66.8779,272.86,25.59%,Production,,,MINOR,,49,36,7,11,,3,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,23,John Austria 1,0.00%,0.0000,,0.00%,Limited,,,MAJOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,24,Mike Benitez,0.00%,0.0000,,0.00%,PCC,,,MINOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,25,Brady Harnage,0.00%,0.0000,,0.00%,Production,U,,MINOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,26,Brady Harnage,0.00%,0.0000,,0.00%,Production,U,,MINOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,27,Chev Jacot,0.00%,0.0000,,0.00%,PCC,,,MINOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,28,Duane Mendoza,0.00%,0.0000,,0.00%,Open,,,MAJOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,29,Gary Owens,0.00%,0.0000,,0.00%,Open,,,MAJOR,,,,,,,,,
1a3945e8-cb3c-4e23-9d01-1744862923e6,Wallis Orchard 24AUG19,2019-08-23,30,Kim Tran 1,0.00%,0.0000,,0.00%,Open,,,MAJOR,,,,,,,,,
