match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,1,Jacob Tullis,100.00%,705.1507,93.97,100.97%,Open,M,,MAJOR,a140523,118,31,2,1,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,2,Michael Hanover,98.70%,695.9996,96.20,99.68%,Open,G,,MAJOR,TY146302,107,41,3,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,3,Albert Montanez,92.55%,652.6454,103.62,108.16%,PCC,M,,MINOR,A101554,129,23,,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,4,Ryan Jaw 1,91.46%,644.9307,102.64,92.34%,Open,X,,MAJOR,X,115,30,6,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,5,Colin Kerrigan,90.56%,638.5939,95.23,101.43%,Limited Optics,U,,MINOR,A142731,105,42,4,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,6,Adam Bandiera,89.48%,630.9670,100.08,90.37%,Open,A,,MAJOR,TY148375,107,35,7,3,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,7,Anthony Fong,88.73%,625.6453,104.78,98.86%,Limited Optics,G,,MINOR,A142224,120,28,3,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,8,Heath Helgeson,86.94%,613.0439,102.75,97.41%,Limited Optics,A,,MINOR,A149129,119,29,3,1,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,9,Brandon Foss 2,86.30%,608.5536,108.40,105.65%,Carry Optics,M,,MINOR,L5142,124,24,4,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,10,Gil Yolo,85.54%,603.1650,97.24,86.36%,Open,M,,MAJOR,L5228,101,35,12,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,11,Jim Havens,84.79%,597.9048,107.63,85.64%,Open,U,Senior,MAJOR,A114636,113,29,7,3,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,12,Phillip Nguyen,84.76%,597.6978,98.32,94.72%,Limited Optics,M,,MINOR,TY152423,101,47,1,3,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,13,Vinh Lam,81.57%,575.2159,98.24,91.24%,Limited Optics,M,,MINOR,Ty101025,101,45,2,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,14,Kevin Bunurai,81.38%,573.8452,110.39,90.99%,Limited Optics,U,,MINOR,TY105111,118,31,2,1,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,15,Joshua Chew,81.05%,571.4907,101.17,99.15%,Carry Optics,M,,MINOR,TY143381,108,39,1,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,16,Wade Pruetz,79.39%,559.8189,109.10,88.95%,Limited Optics,U,Senior,MINOR,Ty79055,114,32,4,2,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,17,Ulrick Fong,79.35%,559.5119,106.82,92.54%,PCC,A,Senior,MINOR,A170351,107,33,10,2,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,18,Patrick Mccombs,79.13%,557.9675,115.41,79.88%,Open,X,,MAJOR,A157503,95,49,7,1,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,19,Matthew Givens,78.96%,556.8043,115.48,92.62%,PCC,A,,MINOR,Ty137686,120,30,2,,,2,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,20,Paul Beavers,78.48%,553.4133,117.73,96.35%,Carry Optics,B,,MINOR,a123776,116,34,2,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,21,Matthew Lem,78.14%,551.0240,116.35,87.47%,Limited Optics,A,"Senior, Law Enforcement",MINOR,A34763,115,35,1,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,22,James Wong,77.06%,543.3866,114.03,86.42%,Limited Optics,U,,MINOR,A162844,104,42,6,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,23,Joseph White,76.90%,542.2333,106.96,85.92%,Limited Optics,U,Law Enforcement,MINOR,A135489,112,30,5,5,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,24,Phyl Santos 1,76.58%,540.0231,106.32,90.24%,PCC,A,,MINOR,A155981,104,39,7,2,,2,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,25,Joshua Blume,76.34%,538.3177,116.12,93.76%,Carry Optics,A,,MINOR,A148746,102,46,4,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,26,Coder W,76.00%,535.8953,108.64,88.87%,PCC,X,,MINOR,A178525,99,43,8,2,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,27,Antonio Tormis,75.88%,535.0940,119.40,76.62%,Open,B,,MAJOR,A124958,103,39,8,2,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,28,Matthew Gonzalez,75.12%,529.6826,121.15,92.35%,Carry Optics,B,,MINOR,A119810,112,37,3,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,29,Saunders Arnold,74.85%,527.8158,119.88,87.66%,PCC,U,,MINOR,L5609,111,37,3,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,30,Adriel Taylor 2,73.38%,517.4226,111.29,82.22%,Limited Optics,C,,MINOR,X,105,38,6,3,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,31,Jay-R delos-Santos,72.20%,509.1030,117.15,84.25%,PCC,B,Senior,MINOR,A70297,103,40,8,1,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,32,Andre Wijaya,71.67%,505.3971,116.91,72.38%,Open,B,,MINOR,A175473,103,39,8,2,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,33,Mike Junco,71.26%,502.4807,118.12,79.61%,Limited Optics,M,"Senior, Law Enforcement",MINOR,FY34819,111,34,4,3,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,34,Jason Wells,70.37%,496.2087,110.59,78.52%,Limited Optics,B,,MINOR,L5218,104,35,8,5,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,35,Ivan Velazquez,70.21%,495.0991,113.62,85.68%,Carry Optics,A,,MINOR,A108486,104,36,9,3,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,36,Jeremiah Hunt,69.54%,490.3593,119.62,70.20%,Open,B,,MAJOR,A148592,88,46,13,5,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,37,Jose Onia,68.92%,485.9983,108.42,76.62%,Limited Optics,X,Senior,MINOR,A134359,109,29,7,7,,1,1,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,38,Manny Nerona,68.26%,481.3165,131.61,83.50%,Carry Optics,B,,MINOR,A69455,123,23,5,1,,2,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,39,Steven McNamara,67.15%,473.5007,138.96,75.09%,Limited Optics,B,Senior,MINOR,A75212,127,23,1,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,40,Kyle Post,66.03%,465.6226,120.22,73.57%,Limited Optics,U,Law Enforcement,MINOR,A74846,98,38,12,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,41,Gary Wu 2,65.64%,462.8436,132.47,80.40%,Carry Optics,B,Senior,MINOR,L2998,115,31,4,2,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,42,Don Sanders,64.92%,457.7720,120.03,65.55%,Open,B,Senior,MAJOR,FY46389,115,26,5,6,,,2,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,43,Claude Chew,63.83%,450.0714,127.75,108.57%,Single Stack,A,,MINOR,TY143380,110,32,5,5,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,44,Jennifer Kleiber-Boatcallie,63.54%,448.0790,148.11,74.71%,PCC,B,Lady,MINOR,A142192,125,22,4,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,45,Jason Hoang,62.78%,442.7058,115.55,70.04%,Limited Optics,U,,MINOR,TY164936,98,35,12,7,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,46,Yulmer Carreno 1,61.56%,434.0730,119.50,68.17%,Limited Optics,B,,MINOR,A157204,90,51,7,4,,2,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,47,Markho Babasoro,61.22%,431.7261,140.15,68.55%,Limited Optics,C,,MINOR,A174757,107,40,3,2,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,48,michael womack,60.86%,429.1739,141.92,61.46%,Open,U,,MAJOR,A166212,101,38,9,4,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,49,Christopher Boatcallie,60.15%,424.1129,145.05,67.20%,Limited Optics,U,,MINOR,A104118,122,22,5,3,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,50,Larry Shaw,60.09%,423.7023,125.78,73.71%,Carry Optics,B,,MINOR,A153831,94,41,13,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,51,Virak Meas,59.32%,418.2766,143.32,59.89%,Open,D,Senior,MINOR,O,111,31,7,3,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,52,Abrahan Figueroa,58.23%,410.6425,144.69,65.49%,Limited Optics,C,Senior,MINOR,TY54053,101,44,5,2,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,53,Cliff Pinsent,57.95%,408.6069,157.03,64.87%,Limited Optics,B,Distinguished Senior,MINOR,FY99321,117,31,3,1,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,54,Michael Pontious,57.40%,404.7288,130.78,63.97%,Limited Optics,B,Super Senior,MINOR,A94575,91,47,10,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,55,Carlos Escandon 1,54.46%,384.0067,159.68,60.97%,Limited Optics,B,Distinguished Senior,MINOR,L2590,115,33,2,2,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,56,"Jeff Maxwell, Jr.",53.40%,376.5524,172.47,65.45%,Carry Optics,B,Senior,MINOR,L4489,124,24,4,,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,57,Lucas Blanchard,52.61%,370.9638,154.42,64.44%,Carry Optics,C,,MINOR,A149017,107,37,4,4,,1,1,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,58,Jim Dunlap,52.05%,367.0596,176.45,61.26%,PCC,B,,MINOR,L4377,117,31,3,1,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,59,Marlon Pors,51.41%,362.5120,163.26,108.57%,Limited,C,Law Enforcement,MINOR,Ty1234,108,36,4,4,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,60,Eric Wu,50.88%,358.7728,141.30,56.76%,Limited Optics,B,,MINOR,FY104740,88,51,9,4,,2,1,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,61,Nicholas Whitlatch,49.69%,350.3988,160.48,61.00%,Carry Optics,B,,MINOR,A90321,114,29,3,6,,,1,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,62,Jeannie Marrone,49.37%,348.1610,196.27,49.85%,Open,C,"Lady, Super Senior",MAJOR,A133357,123,25,4,,,,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,63,Dan Schreiber,48.75%,343.7838,180.24,54.73%,Limited Optics,C,Super Senior,MINOR,A147899,128,18,2,4,,1,,
1d8d66d7-2c97-4f42-8849-7283c7cfeb59,GPS USPSA June 2026,2026-06-28,64,Harlan Chen 1,48.06%,338.8982,116.79,52.90%,Limited Optics,B,,MINOR,A163292,77,45,7,23,,3,10,
