match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,1,Gil Yolo 2,100.00%,761.7307,97.79,111.28%,Open,M,,MAJOR,L5228,121,28,7,,,1,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,2,Mike Whitesides,85.74%,653.0791,108.40,95.52%,Open,A,,MINOR,TY81358,123,27,4,2,,,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,3,Ross Apffel,85.68%,652.6316,115.44,101.41%,Limited,A,,MAJOR,L4428,115,36,5,,,,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,4,Paul Felker,84.86%,646.4262,106.04,105.58%,Carry Optics,M,,MINOR,TY107123,118,32,3,3,,,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,5,Vinh Lam,84.72%,645.3275,104.04,99.41%,Limited,M,,MAJOR,TY101025,104,40,8,4,,1,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,6,Olayemi Bakare,84.56%,644.1156,120.37,99.43%,Limited,A,,MAJOR,X,120,34,2,,,,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,7,Duane Mendoza,84.40%,642.9345,111.99,94.13%,Open,U,,MAJOR,X,111,40,3,2,,,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,8,Ralf Migs,84.17%,641.1567,114.44,104.64%,Carry Optics,U,Military,MINOR,0,122,32,2,,,,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,9,Thomas Luzuriaga,82.16%,625.8681,104.08,96.41%,Limited,U,Foreign,MINOR,TY139257,114,34,5,3,,2,,
2b402147-c3cb-49a2-84e5-ab2e6e520605,GPS USPSA Extra Saturday Special Jan 2022,2022-01-29,10,Andrew Whitley,81.21%,618.6191,107.93,90.74%,Open,A,,MAJOR,TY-106649,96,47,9,4,,,,
