match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,1,Michael Hanover,100.00%,742.4850,88.17,111.40%,Open,M,,MAJOR,A146302,111,44,3,2,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,2,Travis McKenzie,93.17%,691.8001,99.30,103.56%,Open,A,,MAJOR,L6340,122,34,3,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,3,Albert Montanez,92.37%,685.8030,98.71,110.10%,PCC,M,,MINOR,TY101554,126,32,2,,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,4,Brandon Foss,91.66%,680.5566,101.37,103.97%,Carry Optics,M,,MINOR,L5142,136,22,2,,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,5,Vinh Lam,90.62%,672.8068,101.70,105.28%,Limited Optics,M,,MINOR,TY101025,138,19,2,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,6,Taylor Snodgrass,90.53%,672.1744,93.08,100.84%,Open,A,,MAJOR,A159149,117,34,6,3,,2,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,7,Mike Junco,90.36%,670.9122,100.47,105.37%,Limited Optics,M,"Senior, Law Enforcement",MINOR,TY34819,138,18,3,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,8,Gil Yolo,89.71%,666.0906,102.37,102.73%,Carry Optics,M,,MINOR,L5228,132,26,1,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,9,Chez Chike-Udenze,89.59%,665.2256,102.92,99.91%,Open,M,,MAJOR,A138598,129,27,3,1,,1,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,10,Craig Bellamy,89.26%,662.7097,94.66,100.86%,Carry Optics,G,Law Enforcement,MINOR,Ty54824,127,28,2,3,,1,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,11,Anthony Fong,88.39%,656.3191,100.35,102.97%,Limited Optics,M,,MINOR,A142224,132,26,1,1,,1,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,12,Anthony Giuliano,87.81%,651.9810,101.05,100.28%,Carry Optics,A,Law Enforcement,MINOR,A152263,128,31,,1,,1,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,13,Zachary Ralston 1,87.27%,647.9559,94.69,99.37%,Limited Optics,A,,MINOR,A123081,125,33,1,1,,,6,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,14,Jason Wells,85.14%,632.1607,108.37,102.36%,PCC,A,,MINOR,L5218,139,20,,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,15,David Warren,84.28%,625.7503,108.19,98.28%,Limited Optics,M,Senior,MINOR,TY40917,132,23,5,,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,16,Heath Helgeson,83.87%,622.6965,106.30,97.00%,Limited Optics,A,,MINOR,a149129,132,27,,1,,2,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,17,Roger Feng,83.50%,619.9530,110.36,95.02%,Carry Optics,A,,MINOR,A157776,134,23,3,,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,18,Joshua Chew,82.38%,611.6533,98.22,93.85%,Carry Optics,M,,MINOR,TY143381,120,32,5,3,,2,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,19,Phillip Nguyen,81.62%,606.0315,103.13,95.25%,Limited Optics,M,,MINOR,TY152423,123,32,2,3,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,20,Alberto Silva,80.60%,598.4578,99.22,91.61%,Carry Optics,M,,MINOR,A151309,111,34,12,3,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,21,Jose Onia,78.81%,585.1680,106.58,89.30%,Carry Optics,A,Senior,MINOR,,127,26,4,3,,1,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,22,Jacob Bernal,78.73%,584.5456,120.35,90.79%,Limited Optics,B,Military,MINOR,A160508,150,8,,2,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,23,Khoa Nguyen,78.52%,582.9912,117.00,114.29%,Limited,A,Law Enforcement,MAJOR,A117224,123,33,3,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,24,Claude Chew,78.31%,581.4145,116.83,89.48%,Carry Optics,A,,MINOR,TY143380,136,21,3,,,1,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,25,Marco Yue,78.07%,579.6854,116.35,90.54%,Limited Optics,B,,MINOR,L5762,132,26,1,1,,,,
326cca1d-a499-4822-8d2f-55db856774d3,GPS USPSA July 2025,2025-07-27,26,Paul Torre,77.62%,576.3158,112.30,87.73%,Carry Optics,B,,MINOR,A88028,134,19,5,2,,2,,
