match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,1,Michael Hanover,100.00%,790.9492,88.85,112.99%,Open,A,,MAJOR,A146302,138,26,,,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,2,Bobby Ivester,95.31%,753.8493,90.57,107.69%,Open,M,,MAJOR,A101336,119,42,2,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,3,Olayemi Bakare,89.88%,710.8883,93.11,101.56%,Open,U,,MAJOR,A105300,117,40,6,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,4,Chez Chike-Udenze,86.93%,687.5461,103.90,98.22%,Open,M,,MAJOR,A138598,119,41,3,1,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,5,Travis McKenzie,86.91%,687.4128,95.86,98.20%,Open,A,,MAJOR,L6340,114,44,4,2,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,6,Michael Kiesewetter,84.83%,670.9876,93.16,106.80%,Carry Optics,M,,MINOR,TY118153,118,42,3,1,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,7,Andrew Whitley,83.71%,662.0759,99.42,94.58%,Open,A,,MAJOR,,107,51,5,1,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,8,Vinh Lam,81.48%,644.4932,90.47,103.32%,Limited Optics,A,,MINOR,Ty101025,126,28,6,4,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,9,Christian Canizales,79.89%,631.9016,102.98,100.60%,Carry Optics,A,,MINOR,TY150265,125,35,3,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,10,Zachary Ralston,79.69%,630.3411,98.13,101.93%,Limited Optics,A,,MINOR,A123081,120,39,3,2,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,11,Roger Feng,79.48%,628.6326,99.30,99.78%,Carry Optics,A,,MINOR,A157776,118,38,7,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,12,Jim Havens 2,78.99%,624.7871,100.38,101.05%,Limited Optics,M,Senior,MINOR,,127,31,3,3,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,13,Anthony Fong,78.97%,624.6516,96.06,101.24%,Limited Optics,M,,MINOR,A142224,122,33,5,4,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,14,Zvi Davidoff,78.34%,619.6616,108.09,88.52%,Open,U,,MAJOR,,112,46,4,2,,2,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,15,Jose Onia,78.26%,618.9962,105.02,99.11%,Carry Optics,A,Senior,MINOR,A134359,126,35,2,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,16,Tony Vale,78.11%,617.8364,99.13,99.76%,Limited Optics,U,,MINOR,A153735,115,41,5,3,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,17,Andy Chen,77.10%,609.7978,99.63,98.89%,Limited Optics,A,,MINOR,A86721,124,31,5,4,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,18,Phillip Nguyen,76.46%,604.7882,106.05,97.76%,Limited Optics,A,,MINOR,TY152423,127,33,2,2,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,19,Anthony Giuliano,75.46%,596.8833,103.50,94.89%,Carry Optics,A,Law Enforcement,MINOR,A152263,129,26,7,2,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,20,Adriel Taylor 1,75.37%,596.1577,111.46,85.17%,Open,B,,MAJOR,A104321,127,32,2,3,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,21,Jorge Cahas,75.04%,593.5445,113.00,84.79%,Open,B,Senior,MAJOR,F-44522,119,40,4,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,22,Brandon Foss,74.91%,592.5198,103.21,94.70%,Carry Optics,M,,MINOR,L5142,132,22,5,5,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,23,Mike Junco,73.98%,585.1756,105.76,94.80%,Limited Optics,M,"Senior, Law Enforcement",MINOR,TY34819,133,25,2,4,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,24,Lee Cardwell,71.63%,566.5684,109.22,89.92%,Carry Optics,B,,MINOR,A155173,110,46,8,,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,25,Angelo Guadalquiver,70.57%,558.1732,103.77,79.74%,Open,B,,MAJOR,A145293,112,42,2,8,,,1,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,26,Marco Yue,69.68%,551.1266,112.36,88.38%,Limited Optics,B,,MINOR,L5762,123,33,5,3,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,27,Eric Huh,69.58%,550.3383,112.90,87.87%,Carry Optics,A,,MINOR,A143520,132,24,5,3,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,28,Steven McNamara,69.08%,546.3591,122.16,78.05%,Open,B,Senior,MAJOR,A75212,127,34,2,1,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,29,Khoa Nguyen,68.95%,545.3558,108.32,88.87%,Limited Optics,A,Law Enforcement,MINOR,A117224,112,44,7,1,,2,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,30,Albert Legislador,68.88%,544.7820,128.49,77.83%,Open,C,Senior,MAJOR,TY91787,129,33,1,1,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,31,Jason Wells,68.17%,539.2194,114.50,85.65%,Carry Optics,A,,MINOR,L5218,118,41,3,2,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,32,Tyler Kenny,67.84%,536.5709,114.75,85.16%,Carry Optics,A,,MINOR,A148691,128,28,4,4,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,33,Heath Helgeson,67.24%,531.8435,112.61,87.03%,Limited Optics,B,,MINOR,A149129,118,39,3,4,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,34,Dale Fike,66.65%,527.1369,113.79,102.68%,PCC,B,Senior,MINOR,A113427,109,52,2,1,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,35,Stormtrooper Qian,66.63%,527.0099,124.38,85.02%,Limited Optics,B,,MINOR,A150939,125,36,3,,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,36,Darcy Okeefe 2,65.56%,518.5319,119.49,82.72%,Carry Optics,B,,MINOR,,127,30,4,3,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,37,Matthew Lem,65.53%,518.3296,109.62,84.33%,Limited Optics,A,"Senior, Law Enforcement",MINOR,A34763,116,39,4,5,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,38,Moe Zahra,64.75%,512.1206,123.40,98.87%,PCC,U,Military,MINOR,A129744,133,25,3,3,,2,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,39,Abe Valdez,63.79%,504.5670,114.80,80.38%,Carry Optics,B,,MINOR,A148541,124,30,6,4,,,1,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,40,Yihao Zuo,62.87%,497.2640,131.67,71.04%,Open,U,,MAJOR,A165414,123,36,1,4,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,41,David Zhang,62.35%,493.1444,127.58,80.04%,Limited Optics,B,,MINOR,FY140383,123,36,3,2,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,42,Gary Wu,61.71%,488.1015,123.18,77.15%,Carry Optics,B,Senior,MINOR,L2998,113,40,9,2,,,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,43,Don Sanders,61.40%,485.6714,124.26,69.38%,Open,B,Senior,MAJOR,FY46389,98,53,10,3,,2,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,44,Daniel Duong 2,60.88%,481.5597,128.88,77.35%,Carry Optics,B,Law Enforcement,MINOR,A112386,126,33,2,3,,1,,
3297d09a-dc38-46b4-91af-cb98d72805bc,Wallis Orchard MAY USPSA Match,2025-05-18,45,Marc Demeza 2,60.70%,480.0682,130.37,77.92%,Limited Optics,U,,MINOR,TY142892,126,31,4,3,,,,
