match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,1,Jim Havens,100.00%,642.7119,91.62,95.80%,Carry Optics,G,,MINOR,TY114636,119,14,3,,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,2,Bobby Ivester 3,91.58%,588.5702,104.67,87.37%,Open,M,,MAJOR,A101336,99,36,1,,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,3,Mike Junco,88.41%,568.2015,99.03,84.64%,Carry Optics,M,Law Enforcement,MINOR,TY34819,103,32,1,,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,4,Sheng Onia,87.82%,564.4351,100.07,83.94%,Carry Optics,U,Junior,MINOR,A144100,106,27,3,,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,5,Gil Yolo,87.62%,563.1424,94.09,83.90%,Carry Optics,M,,MINOR,L5228,95,36,4,1,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,6,Edwin Garcia 1,86.13%,553.5779,95.38,82.36%,Carry Optics,U,,MINOR,ty38396,100,30,4,2,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,7,Derik Satsky,85.05%,546.6244,94.38,81.84%,Carry Optics,A,,MINOR,FY119794,98,36,1,1,,4,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,8,Jorge Cahas,84.58%,543.5910,100.69,80.96%,Open,B,Senior,MAJOR,F-44522,93,35,6,2,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,9,Dylan Lorence,80.69%,518.5746,104.87,77.07%,Open,B,Military,MAJOR,A123359,82,45,7,2,,,,
342daf19-ef9f-4cc3-bfbf-9dc7f0f26da2,GPS USPSA August 2022,2022-08-28,10,Andrew Whitley,80.23%,515.6354,97.85,76.79%,Open,A,,MAJOR,TY-106649,86,38,8,4,,1,,
