match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,1,Mike Junco,100.00%,703.1584,89.32,104.41%,Limited Optics,M,"Senior, Law",MINOR,TY34819,123,23,2,2,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,2,Matthew Lem,92.16%,648.0046,103.06,96.06%,Limited Optics,A,"Senior, Law",MINOR,A34763,124,25,1,,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,3,Ashley Krenek,91.95%,646.5724,103.03,98.25%,Open,B,Lady,MINOR,TY92392,128,20,2,,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,4,Andrew Whitley,90.86%,638.8661,102.42,97.47%,Open,A,,MAJOR,TY106649,113,30,6,1,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,5,James Newman,89.80%,631.4705,100.80,103.80%,Carry Optics,U,,MINOR,A159823,126,18,4,2,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,6,Wade Pruetz,87.85%,617.7475,102.61,91.86%,Limited Optics,U,Senior,MINOR,,122,24,2,2,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,7,duane Mendoza,87.51%,615.3127,95.65,91.39%,Limited Optics,X,,MINOR,X,120,24,2,4,,,1,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,8,Kyle Post,85.44%,600.8136,102.36,107.14%,Limited,M,Law,MINOR,A74846,105,40,2,3,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,9,Roman Gwiscz,84.01%,590.7541,107.94,87.88%,Limited Optics,B,,MINOR,,125,22,1,2,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,10,Jerry McClain,79.37%,558.1116,113.00,82.90%,Limited Optics,B,Law,MINOR,A48726,114,31,4,1,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,11,Paul Piretti,77.19%,542.7799,113.66,82.94%,Open,,,MINOR,A149477,116,29,3,2,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,12,dwight Trautmann,76.77%,539.8262,106.85,81.22%,Open,,Senior,MAJOR,A147361,114,23,6,7,,,2,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,13,Tony Phan,76.59%,538.5582,114.11,104.54%,Production,M,Law,MINOR,,120,26,2,2,,1,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,14,Steven McNamara,76.19%,535.7294,127.50,79.73%,Limited Optics,B,Senior,MINOR,A75212,126,23,,1,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,15,Nate Miranda,75.07%,527.8346,117.30,102.43%,Production,,,MINOR,,120,22,6,2,,,,
358c2840-02ed-483a-962a-076674a90fe2,Baps USPSA February 2026,2026-02-21,16,eric Harriman,73.07%,513.8278,123.80,85.02%,Carry Optics,C,,MINOR,10610,128,17,3,2,,1,,
