match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,1,Katherine Licence,100.00%,120.0000,22.63,60.00%,Carry Optics,C,Lady,MINOR,A107334,19,5,,,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,2,Byron Whitney,78.31%,93.9713,24.58,55.36%,Production,B,,MINOR,L4702,11,13,,,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,3,Joel Mudri,68.77%,82.5289,24.36,60.00%,Open,C,Senior,MAJOR,TY78558,8,11,4,1,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,4,Matt Williams,67.45%,80.9415,23.34,47.72%,Production,B,,MINOR,A112998,19,3,,2,,1,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,5,Ian Licence,65.46%,78.5579,26.97,46.28%,Production,B,,MINOR,TY107328,14,8,1,1,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,6,Joshua Fant,58.68%,70.4116,34.48,60.00%,Limited,B,,MAJOR,TY93274,10,13,,1,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,7,Robert Henneman,44.43%,53.3168,26.03,31.42%,Production,C,Senior,MINOR,TY122352,8,11,3,2,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,8,Dusty Demars,35.63%,42.7528,32.78,35.09%,Limited,U,,MAJOR,A134184,17,6,,1,,,4,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,9,Justin Pritchard,29.14%,34.9724,30.36,20.61%,Production,U,,MINOR,FY123958,14,7,2,1,,,4,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,10,Michael Siracusa,25.39%,30.4701,32.33,17.95%,Production,C,,MINOR,A130316,11,8,1,4,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,11,Bob Licence,23.51%,28.2146,25.26,21.41%,Limited,B,,MAJOR,A134119,11,8,3,2,,,4,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,12,Eric Ploot,16.46%,19.7488,55.02,11.63%,Production,U,,MINOR,TY129442,6,10,6,2,,,,
361755db-f754-4292-b063-c1b0dd8b1daa,GPS Wednesday Night USPSA Mini-match 6/16/21,2021-06-16,13,inge mudri,0.00%,0.0000,45.98,0.00%,Open,D,"Lady, Senior, Super Senior",MINOR,TY116305,1,4,4,15,,,2,
