match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,1,Roger Feng,100.00%,820.5986,118.39,125.60%,Carry Optics,A,,MINOR,A157776,155,20,1,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,2,Phillip Nguyen,97.44%,799.5665,107.53,117.26%,Limited Optics,A,,MINOR,TY152423,124,45,5,2,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,3,Ross Winningham,90.67%,744.0614,119.28,109.23%,Limited Optics,B,,MINOR,A159283,141,30,3,2,,,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,4,Taylor Snodgrass,87.86%,720.9384,112.04,106.24%,Limited Optics,A,,MINOR,A159149,122,46,4,4,,1,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,5,Tyler Denmon,87.27%,716.1554,128.54,105.62%,Limited Optics,B,,MINOR,A156054,143,29,3,1,,1,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,6,AJ Jackson,83.88%,688.2916,128.10,101.20%,Limited Optics,B,,MINOR,TY81745,126,45,4,1,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,7,Jon Baguio,83.70%,686.8252,127.99,125.71%,Open,X,,MAJOR,A101177,122,45,5,4,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,8,Manny Nerona,83.58%,685.8205,135.92,100.22%,Limited Optics,C,,MINOR,A69445,135,35,6,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,9,James “JimO” O'Flaherty,79.13%,649.3229,141.42,95.44%,Limited Optics,C,"Senior, Law Enforcement",MINOR,FY100318,147,28,1,,,2,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,10,Lou Lerma,76.15%,624.9180,126.07,96.36%,Carry Optics,B,,MINOR,A155846,119,47,5,5,,,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,11,Skippy Fullerton 1,75.12%,616.4198,132.93,90.93%,Limited Optics,X,,MINOR,A140572,130,39,2,5,,1,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,12,Lan Nguyen 2,74.98%,615.2747,152.34,95.33%,Carry Optics,A,,MINOR,L5752,142,31,1,2,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,13,Dale Fike,74.93%,614.8386,141.67,90.46%,Limited Optics,C,Senior,MINOR,A113427,127,43,4,2,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,14,Ray Fishel,74.59%,612.0614,147.64,125.71%,PCC,B,Senior,MINOR,A92443,148,23,2,3,,1,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,15,Aaron Gillory,73.90%,606.4514,147.09,94.12%,Carry Optics,B,Law Enforcement,MINOR,TY144826,145,25,5,1,,2,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,16,Marlon Pors,73.55%,603.5375,154.30,93.17%,Carry Optics,C,Law Enforcement,MINOR,A76330,140,33,3,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,17,Edwin Buchwalter 2,71.97%,590.5732,156.01,108.60%,Open,B,,MINOR,TY102903,135,40,1,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,18,Desmond Jackson,68.08%,558.6843,164.48,85.89%,Carry Optics,X,,MINOR,TY89242,137,33,6,,,,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,19,Charles Bradbury,67.16%,551.0754,174.29,84.63%,Carry Optics,X,,MINOR,A107489,152,23,1,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,20,Rafael Delfin,66.29%,543.9400,144.40,84.02%,Carry Optics,X,,MINOR,A122234,125,44,3,4,,2,2,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,21,Yetta Jones,65.58%,538.1606,168.76,82.54%,Carry Optics,C,Lady,MINOR,TY139120,137,33,6,,,1,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,22,Blaine Newlin,65.36%,536.3051,189.03,125.71%,Limited,B,,MAJOR,A103350,149,27,,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,23,Jason Wilson,63.54%,521.4493,196.46,125.71%,Revolver,GM,,MAJOR,A94696,154,22,,,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,24,Austin Orta,61.79%,507.0187,177.67,77.63%,Carry Optics,B,,MINOR,A163653,168,4,,4,,,3,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,25,Lauren Gillory,58.74%,482.0396,176.32,74.22%,Carry Optics,C,Lady,MINOR,A162432,116,53,6,1,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,26,"Ross ""Riff Raff"" Pimentel",57.96%,475.6554,159.60,69.74%,Limited Optics,C,Senior,MINOR,A157753,116,48,6,6,,1,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,27,Virak Meas,57.49%,471.7527,152.49,87.31%,Open,X,Senior,MINOR,A155576,131,22,15,8,,,2,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,28,Mark Lutzel,57.22%,469.5605,185.78,72.02%,Carry Optics,,Super Senior,MINOR,FY101009,144,28,3,1,,3,2,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,29,Toan Tieu,54.89%,450.4350,198.63,66.58%,Limited Optics,C,,MINOR,A140227,145,28,2,1,,,3,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,30,Justin Pershall,54.67%,448.6531,197.62,81.52%,Open,,,MINOR,,150,23,1,2,,3,2,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,31,Ronald Gillory,53.56%,439.5018,215.48,93.32%,PCC,B,,MINOR,TY83291,160,14,,2,,,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,32,Kevin Thurston,49.44%,405.6747,196.44,59.65%,Limited Optics,C,Senior,MINOR,A160319,126,40,5,5,,,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,33,"Byron ""BJ"" Frank",41.78%,342.8548,254.90,53.12%,Carry Optics,C,Super Senior,MINOR,A139338,141,25,6,4,,,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,34,Emman Alcoseba,40.82%,334.9557,181.13,74.36%,Limited,C,Super Senior,MINOR,TY67519,111,32,4,5,,1,,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,35,Julien Peters,39.14%,321.1670,267.95,47.50%,Limited Optics,C,,MINOR,A167047,138,30,5,3,,,1,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,36,John Del Toro,23.01%,188.8022,326.30,49.32%,Limited,C,Distinguished Senior,MINOR,A107511,137,21,4,14,,,7,
3fef17e7-0458-4a08-8377-e4fa18658700,Bayou City Monthly April 13th at Oilfield Sports Complex,2025-04-13,37,Harlan Chen,7.95%,65.2560,23.78,9.32%,Limited Optics,C,,MINOR,A163292,19,4,1,,,,,
