match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,1,Jacob Tullis,100.00%,739.6717,99.63,108.04%,Open,M,,MAJOR,a140523,109,50,2,1,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,2,Vinh Lam,98.12%,725.7764,99.45,112.00%,Limited Optics,M,,MINOR,TY101025,122,38,2,,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,3,Mel Robero,97.21%,719.0563,99.47,104.90%,Open,GM,,MAJOR,B100,98,57,6,1,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,4,Timothy Guerrero 2,96.63%,714.7574,92.57,104.17%,Open,M,,MAJOR,L4633,113,41,3,5,,,2,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,5,Chez Chike-Udenze,96.59%,714.4747,99.99,104.19%,Open,M,,MAJOR,A138598,111,42,7,2,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,6,Ryan Jaw,96.24%,711.8900,99.28,103.87%,Open,U,,MAJOR,Ty142907,102,49,9,2,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,7,Adam Bandiera,92.98%,687.7288,101.33,100.44%,Open,A,,MAJOR,TY148375,105,46,8,3,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,8,Albert Montanez,92.26%,682.4477,107.96,111.38%,PCC,M,,MINOR,A101554,130,29,3,,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,9,Zachary Ralston,90.62%,670.2771,106.38,103.63%,Limited Optics,A,,MINOR,A123081,123,32,7,,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,10,Anthony Fong,88.72%,656.2715,108.28,101.40%,Limited Optics,GM,,MINOR,A142224,128,31,1,2,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,11,Mike Junco,88.65%,655.7334,104.45,101.72%,Limited Optics,M,"Senior, Law Enforcement",MINOR,TY34819,116,38,7,1,,,,
4d125dd4-ba6d-4e02-9c75-e7f3d0fbe914,Wallis Orchard June 2026 USPSA Match,2026-06-21,12,Colin Kerrigan,85.85%,635.0341,106.68,98.06%,Limited Optics,U,,MINOR,A142731,114,40,6,2,,,,
