match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,1,Wade Pruetz,100.00%,668.5302,78.04,115.28%,Open,A,Senior,MAJOR,TY79055,103,27,9,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,2,Jon Warrender,95.50%,638.4693,84.24,117.77%,Limited Optics,U,Senior,MAJOR,FY86145,110,31,1,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,3,August Balagtas,91.48%,611.5441,89.63,105.41%,Open,M,,MAJOR,L3674,110,29,3,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,4,Mike Junco,90.43%,604.5715,81.60,113.47%,Carry Optics,M,"Senior, Law Enforcement",MINOR,TY34819,105,29,2,1,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,5,Paul Felker,89.49%,598.2765,85.32,111.98%,Carry Optics,M,,MINOR,TY107123,111,28,2,1,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,6,Steven McNamara,86.43%,577.8039,92.31,100.14%,Open,B,Senior,MAJOR,A75212,117,23,1,1,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,7,Kenedy Nguyen,81.25%,543.1692,92.04,94.04%,Open,U,,MAJOR,A83862,92,40,10,,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,8,Tony Phan,81.03%,541.6905,98.62,100.39%,Limited Optics,U,Law Enforcement,MINOR,FY11963,118,19,,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,9,Kyle Post,80.26%,536.5872,91.42,118.33%,Production,M,Law Enforcement,MINOR,A74846,110,29,1,2,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,10,Q Nguyen,78.39%,524.0840,97.02,112.09%,PCC,C,,MINOR,TY99688,110,29,3,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,11,Roman Gwiscz,78.36%,523.8380,98.71,91.10%,Open,B,,MAJOR,,96,37,8,1,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,12,Alex Goben,78.36%,523.8281,91.66,97.96%,Carry Optics,A,,MINOR,A86498,107,33,,2,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,13,Ashley Krenek 1,77.65%,519.1377,99.17,97.00%,Limited Optics,U,Lady,MINOR,TY92392,124,14,2,2,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,14,Dave Campbell,75.89%,507.3596,102.18,108.52%,PCC,U,Super Senior,MINOR,,109,32,1,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,15,Adam Delcampo,73.96%,494.4591,108.46,86.07%,Open,U,,MINOR,A151341,130,10,1,1,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,16,Berrhett Foss,73.20%,489.3347,108.30,93.09%,Carry Optics,U,,MINOR,A143624,122,18,2,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,17,Adam Bandiera 1,72.15%,482.3422,109.12,91.46%,Carry Optics,U,,MINOR,A148375,125,15,1,1,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,18,Glennie James,71.56%,478.3868,113.82,88.83%,Limited Optics,U,,MINOR,FY117813,129,13,,,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,19,Arnold Gee,65.62%,438.7108,104.54,76.37%,Open,B,Senior,MAJOR,TY103519,92,38,4,7,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,20,Arvin Alvarez 1,64.12%,428.6371,119.44,79.18%,Limited Optics,,,MINOR,,121,19,1,1,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,21,Hollier Robert,62.00%,414.4680,121.92,118.33%,Limited,U,Super Senior,MAJOR,FY24941,112,24,4,2,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,22,Mike Pontious,61.97%,414.3021,111.91,78.19%,Carry Optics,B,Senior,MINOR,FY94575,100,37,2,3,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,23,Rene Zalamea,60.96%,407.5037,119.97,70.39%,Open,C,Senior,MAJOR,A66891,93,36,10,3,,,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,24,Luke Rogers,60.85%,406.8065,118.64,91.56%,Production,U,,MINOR,A133534,113,21,5,2,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,25,Harriman Eric,60.59%,405.0748,126.08,75.94%,Carry Optics,U,,MINOR,A150114,117,23,1,1,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,26,Chris Nagala,60.36%,403.4990,109.04,70.28%,Open,B,,MINOR,TY97712,109,26,3,4,,3,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,27,Jim Duncan,60.07%,401.6128,135.91,73.71%,Limited Optics,U,Super Senior,MINOR,TY33325,137,4,,1,,1,,
5491c7df-d470-4d45-9919-fe24331c6f36,BAPS USPSA June 2023,2023-06-17,28,Brando Padilla 2,58.89%,393.6746,116.05,68.52%,Open,U,,MINOR,,96,35,9,2,,1,,
