match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,1,Gil Yolo,100.00%,804.9656,121.19,116.04%,Open,M,,MAJOR,L5228,140,27,7,1,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,2,Ogie DELAROSA 1,98.03%,789.0852,121.47,113.70%,Open,M,,MAJOR,Xxxx,124,47,3,1,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,3,Mike Junco,96.70%,778.4124,122.52,116.71%,Carry Optics,M,"Senior, Law Enforcement",MINOR,TY34819,139,35,1,,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,4,Jim Phelps,95.15%,765.9362,126.28,114.40%,Carry Optics,A,,MINOR,A123081,141,32,2,,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,5,Qingbang Cai,94.25%,758.6628,120.87,113.86%,Carry Optics,A,,MINOR,A148273,135,33,6,1,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,6,Brandon Foss,93.92%,756.0546,120.72,113.16%,Carry Optics,M,,MINOR,L5142,135,38,,2,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,7,Wade Pruetz,91.27%,734.7062,121.64,105.93%,Open,A,Senior,MAJOR,TY79055,122,41,9,3,,1,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,8,Chez Chike-Udenze,90.83%,731.1885,132.44,115.97%,Limited Optics,M,,MINOR,A138598,145,26,4,,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,9,Paul Felker,90.56%,728.9478,121.77,109.26%,Carry Optics,M,,MINOR,TY107123,133,34,5,3,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,10,Craig Bellamy,90.39%,727.6137,118.65,108.92%,Carry Optics,M,Law Enforcement,MINOR,TY54824,131,34,6,4,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,11,Andy Chen,89.08%,717.0855,121.24,113.90%,Limited Optics,A,,MINOR,A86721,136,32,2,5,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,12,Khoa Nguyen,88.06%,708.8302,128.14,112.74%,Limited Optics,A,Law Enforcement,MINOR,A117224,141,31,,3,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,13,Andrew Whitley,87.77%,706.5107,124.62,101.94%,Open,A,,MAJOR,TY106649,117,43,11,4,,1,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,14,Travis McKenzie,85.30%,686.6692,120.91,108.32%,Limited Optics,U,,MINOR,L6340,134,29,8,4,,3,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,15,Jason Wells 2,84.12%,677.1370,125.67,108.19%,Limited Optics,U,,MINOR,L5218,129,39,3,4,,,1,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,16,Anji Xu 2,83.07%,668.6799,146.42,100.25%,Carry Optics,B,,MINOR,FY135340,153,22,,,,1,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,17,Arnold Gee,82.72%,665.8851,140.42,96.01%,Open,B,Senior,MAJOR,TY103519,131,34,8,2,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,18,Anthony Fong,82.69%,665.6454,140.29,106.37%,Limited Optics,A,,MINOR,A142224,133,40,1,1,,,,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,19,JOSE ONIA,82.45%,663.7130,119.51,99.58%,Carry Optics,U,,MINOR,0,114,50,5,6,,,1,
5ad7bbe3-5088-4803-b695-1d4450d39d5b,GPS USPSA November 2023,2023-11-26,20,Adam Bandiera,82.18%,661.5097,137.00,99.18%,Carry Optics,B,,MINOR,A148375,143,26,2,4,,,,
