match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,1,Vinh Lam,100.00%,760.1295,106.33,117.14%,Limited,M,,MAJOR,Ty101025,120,41,2,1,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,2,Craig Bellamy,99.04%,752.8669,110.37,112.88%,Carry Optics,M,Law Enforcement,MINOR,TY54824,149,13,2,,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,3,Michael Hanover,95.66%,727.1243,112.30,109.66%,Limited Optics,A,,MINOR,A146302,145,18,,1,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,4,Mike Junco,95.11%,722.9365,117.64,109.19%,Limited Optics,A,"Senior, Law Enforcement",MINOR,FY34819,146,18,,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,5,Gil Yolo,94.95%,721.7553,114.05,108.19%,Carry Optics,M,,MINOR,L5228,137,23,4,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,6,Chez Chike-Udenze,94.50%,718.3123,122.48,112.40%,Open,A,,MAJOR,A138598,138,24,2,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,7,Andy Chen,93.56%,711.1722,111.73,106.88%,Carry Optics,M,,MINOR,A86721,144,15,2,3,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,8,Jim Havens,91.24%,693.5709,116.64,105.13%,Limited Optics,M,Senior,MINOR,TY114636,141,20,,3,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,9,Khoa Nguyen,87.67%,666.4386,112.01,100.92%,Limited Optics,A,Law Enforcement,MINOR,A117224,128,30,3,3,,,1,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,10,Kyle Post,87.53%,665.3074,123.02,114.86%,Production,M,Law Enforcement,MINOR,A74846,133,26,5,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,11,Adam Bandiera 1,87.28%,663.4362,121.21,100.57%,Limited Optics,B,,MINOR,A148375,139,22,1,2,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,12,Ryan Alicaya,85.89%,652.8959,123.10,98.57%,Limited Optics,D,,MINOR,0,133,28,2,1,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,13,Donald Morden,83.76%,636.6870,133.65,109.76%,Production,A,,MINOR,TY123776,148,15,,1,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,14,Jason Bright,83.29%,633.1173,132.97,94.93%,Carry Optics,A,Law Enforcement,MINOR,A93447,148,15,,1,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,15,Anthony Fong,83.27%,632.9649,116.55,96.48%,Limited Optics,M,,MINOR,A142224,135,22,2,5,,,1,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,16,Sheng Onia,83.25%,632.7877,123.05,95.50%,Limited Optics,U,Senior,MINOR,,130,29,2,3,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,17,Don Sanders,81.50%,619.4855,136.21,97.59%,Open,B,Senior,MAJOR,FY46389,131,29,4,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,18,Randy Goodney,81.00%,615.6907,131.73,97.39%,Open,A,Senior,MAJOR,A94852,134,24,4,2,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,19,Joseph White,80.24%,609.9645,130.77,91.40%,Carry Optics,B,Law Enforcement,MINOR,A135489,131,29,4,,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,20,Calvin Chui 1,80.11%,608.9653,130.62,92.36%,Limited Optics,U,,MINOR,A154291,131,33,,,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,21,Steve Cai,79.82%,606.7671,138.59,90.99%,Carry Optics,M,,MINOR,A148273,135,29,,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,22,George Zhou,77.59%,589.7802,136.69,88.53%,Carry Optics,C,,MINOR,A146179,143,17,2,2,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,23,JC Aguinaldo,76.99%,585.2038,128.51,88.70%,Limited Optics,U,,MINOR,0,138,22,1,3,,1,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,24,Jesse Harrington,76.71%,583.0795,145.03,87.66%,Carry Optics,B,,MINOR,A153046,141,22,1,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,25,Daniel Alexander 1,76.60%,582.2458,139.51,101.10%,PCC,U,,MINOR,,146,16,1,1,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,26,Tony Vale,74.50%,566.3269,126.93,84.79%,Carry Optics,B,,MINOR,A153735,128,27,3,6,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,27,Gilbert Goodman,72.16%,548.4919,162.77,82.43%,Carry Optics,B,,MINOR,A145861,153,11,,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,28,Roger Feng,71.18%,541.0698,132.05,81.24%,Carry Optics,B,,MINOR,A157776,121,30,9,4,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,29,Abe Valdez 1,71.08%,540.3009,139.59,85.55%,Open,B,,MINOR,A148541,127,30,3,4,,,1,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,30,Drew Yang,71.08%,540.2957,151.59,117.14%,Single Stack,U,,MINOR,FY138478,139,23,2,,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,31,Rudy Widiaman,70.35%,534.7541,156.41,93.70%,PCC,U,,MINOR,,139,23,2,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,32,Matthew Lem,68.87%,523.5159,140.46,91.02%,Production,A,"Senior, Law Enforcement",MINOR,A34763,133,25,,6,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,33,Doug Joder,68.83%,523.1695,159.61,91.56%,PCC,B,,MINOR,TY115020,141,22,1,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,34,Devin Yolo,68.79%,522.8860,109.62,88.22%,PCC,B,,MINOR,A112987,93,44,2,1,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,35,Pat Byrne,68.47%,520.4746,152.11,78.00%,Carry Optics,B,Distinguished Senior,MINOR,TY93921,138,23,2,1,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,36,Jay-R delos-Santos,68.10%,517.6776,162.47,88.77%,PCC,B,Senior,MINOR,A70297,126,34,2,2,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,37,James Tonkinson,67.18%,510.6304,145.09,77.10%,Limited Optics,X,Distinguished Senior,MINOR,,118,40,4,2,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,38,Jun Wu,66.17%,502.9713,157.61,87.42%,PCC,B,,MINOR,A104927,139,21,2,2,,,1,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,39,Carlos Escandon,66.12%,502.6053,167.63,75.77%,Carry Optics,B,Super Senior,MINOR,L2590,128,36,,,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,40,Abrahan Figueroa,63.39%,481.8497,154.57,72.45%,Carry Optics,C,Senior,MINOR,TY54053,126,30,5,3,,1,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,41,Robbie Boettcher,63.34%,481.4882,156.86,76.43%,Open,C,,MINOR,L5829,149,8,1,6,,,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,42,Chan William,62.42%,474.4655,104.27,74.85%,Open,B,,MINOR,0,95,47,8,14,,3,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,43,Lee Cardwell,62.39%,474.2146,143.91,70.92%,Carry Optics,B,,MINOR,A155173,127,26,3,8,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,44,David Zhang,61.75%,469.3678,162.23,70.86%,Limited Optics,B,,MINOR,FY140383,129,26,6,3,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,45,Nathan Bridges,60.85%,462.5223,161.16,69.57%,Carry Optics,C,,MINOR,A139264,125,35,1,3,,,1,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,46,"Jeff Maxwell, Jr.",59.53%,452.5185,186.88,68.12%,Carry Optics,C,Senior,MINOR,L4489,145,17,1,1,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,47,Amber Chike-Udenze,58.38%,443.7286,158.45,76.78%,PCC,U,Lady,MINOR,A138974,120,37,3,4,,3,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,48,Rafael Riegel,57.09%,433.9252,140.22,66.17%,Limited Optics,U,,MINOR,A153329,120,32,2,10,,,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,49,Mike Benitez,55.47%,421.6146,137.45,63.17%,Carry Optics,U,,MINOR,,103,47,6,8,,3,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,50,Ramil Villanueva,55.08%,418.7040,131.58,63.26%,Limited Optics,U,Senior,MINOR,,107,36,9,12,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,51,Austin Martini,54.73%,416.0534,180.36,63.47%,Limited Optics,U,,MINOR,,135,25,1,3,,4,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,52,Antonio Martinez,54.01%,410.5175,182.94,61.68%,Carry Optics,U,,MINOR,A160169,140,18,2,4,,4,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,53,Patrick Mccombs,53.08%,403.4946,144.45,61.07%,Carry Optics,C,,MINOR,A157503,115,30,8,11,,,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,54,hayden boatcallie,52.49%,399.0145,179.73,68.18%,PCC,C,,MINOR,A143344,136,20,2,6,,1,3,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,55,Benjamin Michael,51.65%,392.6139,163.92,58.96%,Carry Optics,C,,MINOR,L5472,133,22,1,8,,,5,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,56,Alex Nguyen,51.61%,392.3261,145.33,68.57%,PCC,C,,MINOR,A151003,99,33,5,3,,2,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,57,Todd Ellison,50.75%,385.7786,212.89,68.12%,PCC,U,,MINOR,A137376,137,20,2,5,,,1,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,58,Travis Walton,50.20%,381.6032,152.75,57.30%,Carry Optics,C,,MINOR,A159321,122,25,5,12,,,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,59,Robert Bui,47.94%,364.4290,151.24,55.11%,Limited Optics,U,,MINOR,A103016,114,28,9,13,,1,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,60,Austen White,47.58%,361.6668,176.33,58.34%,Open,U,,MINOR,A153151,119,37,,8,,1,3,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,61,Robin Chen,47.28%,359.3909,187.09,53.98%,Carry Optics,C,"Lady, Law Enforcement",MINOR,A152878,125,30,3,6,,1,3,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,62,Matthew Hausler,46.50%,353.4976,149.57,55.11%,Open,U,,MINOR,A159807,117,33,1,13,,2,6,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,63,cory Sessions,45.74%,347.6517,208.34,52.35%,Carry Optics,U,,MINOR,,133,24,2,5,,1,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,64,Cole League,45.01%,342.1483,194.16,52.42%,Limited,U,Junior,MINOR,,127,26,4,7,,,4,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,65,Dan Schreiber,44.36%,337.2249,241.83,50.94%,Limited Optics,C,Super Senior,MINOR,A147899,143,19,,2,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,66,Bryan Dang,42.24%,321.0781,183.07,50.62%,Open,U,,MINOR,A153331,137,14,,13,,1,4,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,67,James Wong 2,41.88%,318.3604,149.60,47.48%,Carry Optics,U,,MINOR,,115,28,6,15,,5,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,68,David Smiley,41.30%,313.9235,180.13,54.99%,PCC,D,,MINOR,A157629,114,36,6,8,,5,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,69,Gerry Tsoi,40.11%,304.8600,232.67,46.24%,Limited Optics,U,,MINOR,A151481,153,4,,7,,4,2,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,70,TJ Balingit,39.91%,303.3298,243.40,65.77%,Single Stack,U,,MINOR,A151010,113,42,5,4,,,,
5e3b0a6f-9a99-4f60-8261-ebd29dbfe7db,GPS USPSA July 2024,2024-07-28,71,Michael St. Amand,31.16%,236.8394,220.47,36.25%,Carry Optics,C,,MINOR,A157853,94,47,12,11,,5,,
