match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,1,Anthony Fong,100.00%,696.5586,89.10,101.43%,Limited Optics,M,,MINOR,A142224,121,33,2,1,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,2,Cameron Avina,99.35%,692.0099,92.81,101.23%,Limited Optics,M,,MINOR,A146502,136,18,3,,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,3,Ryan Jaw 1,95.35%,664.1557,98.86,106.08%,Open,U,,MAJOR,ty142907,123,30,2,2,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,4,Will Goglas,93.87%,653.8608,96.87,105.05%,Open,U,,MAJOR,A154790,114,36,6,1,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,5,Glen Kruger 1,93.33%,650.1185,92.58,105.37%,PCC,X,Senior,MINOR,A171172,128,27,,2,,,1,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,6,Cholai Sioson,92.45%,643.9871,101.59,103.51%,Open,C,,MAJOR,A137810,129,26,1,1,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,7,Jacob Tullis,91.98%,640.6810,92.32,93.66%,Limited Optics,M,,MINOR,A140523,117,36,2,2,,,1,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,8,Albert Legislador,91.96%,640.5461,96.82,104.61%,PCC,B,Senior,MINOR,TY91787,118,35,4,,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,9,Michael McCoy 11,90.98%,633.7148,96.70,102.90%,PCC,U,,MINOR,A100138,115,37,5,,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,10,Khoa Nguyen,90.03%,627.0953,100.75,112.14%,Limited,A,Law Enforcement,MAJOR,A117224,114,39,3,1,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,11,Daniell Gianelloni 1,87.00%,606.0200,100.84,102.86%,Carry Optics,M,Law Enforcement,MINOR,FY134287,125,28,3,1,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,12,Zachary Ralston,86.25%,600.7879,98.52,87.69%,Limited Optics,A,,MINOR,A123081,110,40,6,1,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,13,Phillip Nguyen,84.75%,590.3646,89.79,86.50%,Limited Optics,M,,MINOR,TY152423,105,42,5,5,,,,
60b3b8d2-56f8-4fab-8840-820b74f3b10c,Thunder Tactical Shooters USPSA Match 19JUL2025,2025-07-19,14,Shawn Prosen,84.26%,586.9480,96.78,99.54%,Carry Optics,B,,MINOR,A165388,107,41,7,2,,,,
