match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,1,Bobby Ivester,100.00%,691.9772,80.98,98.89%,Open,M,,MAJOR,A101336,101,40,3,,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,2,Albert Montanez,96.97%,670.9918,85.11,95.89%,Open,M,,MAJOR,TY101554,120,21,2,1,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,3,Wade Pruetz,91.79%,635.1375,87.21,90.76%,Open,A,Senior,MAJOR,Ty79055,106,35,2,1,,1,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,4,Vinh Lam,90.14%,623.7672,87.60,101.47%,Limited,M,,MAJOR,TY101025,105,33,4,2,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,5,Jim Havens,89.38%,618.4658,90.60,95.89%,Carry Optics,G,,MINOR,Ty114636,121,21,1,1,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,6,Brandon Foss,89.35%,618.3155,90.51,95.66%,Carry Optics,M,,MINOR,L5142,125,18,,1,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,7,Ryan Alicaya,86.46%,598.3114,93.25,85.51%,Open,D,,MAJOR,A106355,108,30,6,,,1,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,8,Paul Felker,86.05%,595.4139,88.66,92.62%,Carry Optics,M,,MINOR,TY107123,119,24,,1,,1,2,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,9,Justin Corona,84.12%,582.0810,87.32,83.19%,Open,B,,MAJOR,L4452,90,47,3,4,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,10,Gil Yolo,83.30%,576.4401,86.24,88.94%,Carry Optics,M,,MINOR,L5228,113,22,5,4,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,11,Scott Reeh,82.90%,573.6569,101.25,88.88%,Carry Optics,A,,MINOR,A91497,132,11,,1,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,12,Jake Mansfield,82.29%,569.4441,103.54,87.90%,Carry Optics,A,,MINOR,A101123,130,14,,,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,13,Alex Goben,81.29%,562.4885,101.28,87.26%,Carry Optics,A,,MINOR,A86498,128,15,1,,,1,1,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,14,Corey Slifko,81.00%,560.4735,97.50,86.51%,Carry Optics,U,,MINOR,82935,112,28,4,,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,15,Devin Yolo,80.16%,554.6993,90.04,85.46%,Carry Optics,B,,MINOR,A112987,105,31,5,3,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,16,JOSE ONIA,78.95%,546.3250,91.80,84.51%,Carry Optics,U,Senior,MINOR,A134359,110,24,7,3,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,17,Pete Kirchner,75.56%,522.8269,107.22,80.93%,Carry Optics,A,,MINOR,TY105743,117,26,,1,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,18,Gary Wu,75.06%,519.3893,107.61,80.45%,Carry Optics,B,Senior,MINOR,L2998,123,19,1,1,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,19,Roman Gwiscz,73.52%,508.7343,97.53,78.68%,Carry Optics,A,,MINOR,l4670,100,36,6,2,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,20,Jorge Cahas 1,72.13%,499.1285,107.04,71.33%,Open,B,Senior,MAJOR,F-44522,102,34,5,3,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,21,Rommel Mercado,72.04%,498.4667,115.37,81.91%,Limited,B,Foreign,MAJOR,Ty70687,110,28,6,,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,22,Kenedy Nguyen,71.59%,495.3625,106.30,70.79%,Open,C,,MINOR,A83862,103,34,7,,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,23,Arnold Gee,71.56%,495.2062,112.17,70.77%,Open,B,Senior,MAJOR,TY103519,93,46,5,,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,24,Matthew Gonzalez,71.41%,494.1584,90.57,76.38%,Carry Optics,B,,MINOR,A119810,105,30,3,6,,2,1,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,25,samuel bharksuwan 2,70.85%,490.2353,102.95,80.82%,Limited,B,Senior,MAJOR,B51,94,39,7,4,,,,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,26,Antonio Tormi,70.71%,489.3016,101.94,76.45%,Carry Optics,B,,MINOR,A124958,104,35,5,,,,5,
6b72887e-b252-456e-b0fe-79eb87927914,GPS USPSA Extra Saturday May 2022,2022-05-28,27,Peter Krill,70.50%,487.8739,120.78,80.53%,Limited,U,,MAJOR,TY123776,112,32,,,,,,
