match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,1,Paul Felker,100.00%,638.0053,83.36,95.19%,Carry Optics,M,,MINOR,TY107123,121,13,3,1,,1,1,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,2,Jack Liu,94.54%,603.1985,90.82,97.56%,PCC,U,Law,MINOR,L6156,116,20,2,,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,3,August Balagtas,89.79%,572.8635,95.94,89.84%,Open,M,,MAJOR,L3674,101,35,1,1,,1,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,4,Roman Gwisc,85.78%,547.2605,100.79,85.78%,Open,U,,MAJOR,,110,25,2,1,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,5,Steven McNamara,84.70%,540.3906,99.31,85.08%,Open,B,Senior,MAJOR,A75212,109,28,,1,,1,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,6,Dwight Trautmann,84.02%,536.0214,94.78,83.53%,Open,U,Senior,MINOR,A147361,116,15,3,4,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,7,Duane Mendoza,81.32%,518.8451,103.78,86.25%,Limited Optics,B,,MINOR,,108,29,1,,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,8,Max Peltier 2,80.88%,516.0233,101.70,76.93%,Carry Optics,U,,MINOR,TY123776,124,11,1,2,,2,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,9,Mike Junco 2,80.78%,515.3664,87.35,84.11%,Limited Optics,A,"Senior, Law",MINOR,TY34819,101,30,2,5,,2,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,10,Jon Baguio 2,79.47%,507.0098,105.91,80.20%,Open,C,,MAJOR,TY 5467,114,19,4,1,,1,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,11,Jonathan Warrender,78.07%,498.0671,108.41,82.66%,Limited Optics,B,,MINOR,ty86145,123,13,,2,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,12,Ian Doskocil,77.96%,497.4038,113.08,74.83%,Carry Optics,U,Law,MINOR,,124,13,1,,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,13,Michael Pontious,75.96%,484.6472,98.35,76.95%,Open,U,Senior,MAJOR,FY94575,105,24,2,7,,,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,14,Alex Goben,75.32%,480.5675,105.98,80.12%,Limited Optics,B,,MINOR,L5929,117,18,1,2,,2,,
6bd1d685-5f6b-4d46-9172-52cd14b2f9c4,BAPS USPSA October 2024,2024-10-19,15,Q Nguyen,75.32%,480.5292,106.78,77.59%,PCC,C,Senior,MINOR,TY99688,103,31,3,1,,,,
