match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,1,Dave Girardin,100.00%,542.4702,57.74,96.04%,Open,M,,MAJOR,,85,25,5,3,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,2,Sean Janicki,99.58%,540.2043,61.61,98.33%,Limited,M,,MAJOR,TY73127,84,26,7,1,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,3,Shane Fungafat,89.91%,487.7474,65.88,87.06%,Open,A,,MAJOR,TY79508,87,25,3,3,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,4,jim martino,82.21%,445.9654,77.29,95.40%,pcc,M,Super Senior,MINOR,,97,18,3,,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,5,Bill Magyari 1,80.71%,437.8215,74.75,79.39%,Limited,B,,MAJOR,A88370,87,21,6,2,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,6,John Zelek,79.63%,431.9501,76.81,91.52%,pcc,A,,MINOR,A111538,86,30,2,,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,7,Jack Folloni 1,77.81%,422.0823,79.00,98.33%,Production,M,Senior,MINOR,A80334,96,17,4,1,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,8,Anatoly Podpaly,67.22%,364.6476,92.75,77.04%,pcc,B,,MINOR,TY62563,91,24,2,1,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,9,Gregory Desnoyers 2,65.21%,353.7359,100.23,76.48%,pcc,U,,MINOR,A110807,102,15,,,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,10,Spencer Boyd 1,64.39%,349.3045,96.00,63.62%,Limited,U,,MINOR,,92,24,1,1,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,11,Mike Zhang,61.57%,333.9810,98.64,78.69%,Production,U,,MINOR,,97,18,2,1,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,12,Wade Price,60.73%,329.4235,106.99,60.45%,Limited,C,Senior,MAJOR,L3330,88,28,2,,,,,
6d39b9ea-5fea-4bb3-9ff9-56b0dfcd26e5,"BAS USPSA Oct 21, 2018",2018-10-21,13,John Bannon 1,58.00%,314.6096,109.77,98.33%,Single Stack,B,,MAJOR,TY84968,90,22,5,1,,,,
