match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,1,Albert Montanez,100.00%,841.4867,116.19,122.37%,PCC,M,,MINOR,TY101554,152,22,6,2,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,2,Scott Reeh,99.83%,840.0668,118.84,122.27%,PCC,M,,MINOR,A91497,156,23,2,1,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,3,Paul Felker,96.13%,808.8824,125.89,121.45%,Carry Optics,M,,MINOR,TY107123,156,25,1,,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,4,Jacob Bryant,96.01%,807.8931,121.80,121.18%,Carry Optics,U,,MINOR,A136908,157,21,1,3,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,5,Gil Yolo,93.16%,783.9251,122.99,123.41%,Open,M,,MAJOR,,141,31,6,4,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,6,Travis McKenzie 5,92.58%,779.0133,129.23,116.62%,Carry Optics,A,,MINOR,TY139201,151,26,4,1,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,7,Craig Bellamy,92.14%,775.3711,123.09,116.38%,Carry Optics,M,Law Enforcement,MINOR,TY54824,154,21,4,3,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,8,Andy Chen,91.35%,768.7291,124.53,114.88%,Carry Optics,M,,MINOR,A86721,145,33,2,2,,,1,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,9,Sheng ONIA 1,89.93%,756.7162,124.39,112.75%,Carry Optics,U,Foreign,MINOR,0,140,35,5,2,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,10,Andrew Whitley,88.02%,740.6584,128.73,115.82%,Open,A,,MAJOR,TY106649,126,43,9,4,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,11,Mike Junco,86.61%,728.7787,132.10,108.99%,Carry Optics,M,"Senior, Law Enforcement",MINOR,TY34819,144,32,4,2,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,12,Phil Truong,85.53%,719.7304,135.57,112.91%,Open,C,,MINOR,FY128600,140,36,5,1,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,13,Jason Wells,84.68%,712.5544,142.47,106.45%,Carry Optics,A,,MINOR,L5218,153,25,3,1,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,14,Jim Havens,84.09%,707.6298,129.63,106.57%,Carry Optics,G,Senior,MINOR,TY114636,142,30,5,5,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,15,Brandon Foss,83.46%,702.3379,144.06,104.82%,Carry Optics,M,,MINOR,L5142,151,30,,1,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,16,Michael Kiesewetter,82.65%,695.4915,135.52,118.00%,Production,A,,MINOR,TY118153,149,26,2,5,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,17,Michael Whitley,81.93%,689.4592,136.01,102.91%,Carry Optics,A,,MINOR,A111091,137,34,8,3,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,18,Jorge Cahas,81.54%,686.1888,138.06,107.86%,Open,B,Senior,MAJOR,F-44522,136,36,6,4,,,1,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,19,Pete Kirchner,81.45%,685.3491,145.07,103.01%,Carry Optics,A,,MINOR,TY105743,148,29,4,1,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,20,Luke Rogers,81.26%,683.7703,138.22,102.61%,Carry Optics,B,,MINOR,A133534,150,23,6,3,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,21,Matt Lem,80.53%,677.6830,132.84,101.60%,Carry Optics,M,"Senior, Law Enforcement",MINOR,FY34763,133,44,1,4,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,22,Jerry McClain 1,78.49%,660.4979,149.38,125.13%,Limited,B,Law Enforcement,MAJOR,A48726,138,35,7,2,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,23,Antonio Tormis,77.14%,649.1570,147.35,101.71%,Open,U,,MAJOR,A124958,133,38,8,3,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,24,Yi Shu,76.62%,644.7573,152.63,96.61%,Carry Optics,C,,MINOR,TY109249,138,41,3,,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,25,Khoa Nguyen,76.61%,644.6516,141.68,110.21%,Production,A,Law Enforcement,MINOR,A117224,131,44,5,2,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,26,Kyle Post,75.89%,638.5965,141.98,108.65%,Production,M,Law Enforcement,MINOR,A74846,144,31,2,5,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,27,Mike Benitez,75.31%,633.7472,143.82,94.63%,Carry Optics,U,,MINOR,A98298,139,36,5,2,,2,1,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,28,Robbie Boettcher,74.44%,626.3838,158.91,94.25%,Carry Optics,B,,MINOR,A139912,156,21,4,1,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,29,Joseph White,73.81%,621.0731,152.69,93.12%,Carry Optics,B,Law Enforcement,MINOR,A135489,141,34,5,2,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,30,Jack Liu 2,72.83%,612.8752,131.34,89.56%,PCC,B,Law Enforcement,MINOR,Ty130790,116,52,6,7,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,31,Jerry Bedro,71.80%,604.2293,154.14,94.93%,Open,X,,MAJOR,A1,136,35,5,6,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,32,Rene Belloq,71.33%,600.1936,164.09,113.22%,Limited,U,,MAJOR,TY123776,142,34,3,3,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,33,Devin Yolo,70.90%,596.5980,149.86,89.29%,Carry Optics,B,,MINOR,,128,43,7,4,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,34,Pat Byrne,70.31%,591.6462,162.75,88.68%,Carry Optics,B,Super Senior,MINOR,fy93921,150,27,3,2,,1,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,35,Michael Pontious 1,70.08%,589.7355,155.80,88.46%,Carry Optics,B,Senior,MINOR,fy94575,146,28,3,5,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,36,James “JimO” O'Flaherty,70.04%,589.3874,155.49,88.37%,Carry Optics,B,"Senior, Law Enforcement",MINOR,FY100318,136,39,3,4,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,37,Carlos Escandon,69.83%,587.5825,179.55,130.00%,Single Stack,B,Super Senior,MAJOR,L2590,143,36,3,,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,38,Cristian Garcia,69.79%,587.3014,158.22,92.09%,Open,C,,MINOR,FY145753,143,30,5,4,,,,
6e26ef36-9bc1-4100-acdf-f8505b30c18e,GPS USPSA March 2023,2023-03-26,39,Cholo Dimayuga,69.31%,583.2012,161.20,110.29%,Limited,C,,MAJOR,0,129,43,7,3,,2,,
