match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,1,Michael Hanover,100.00%,915.8031,108.89,132.28%,Open,GM,,MAJOR,TY146302,144,44,4,1,,1,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,2,Mel Rodero II,93.86%,859.6175,120.07,124.32%,Open,GM,Senior,MAJOR,B100,140,52,1,,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,3,Michael Kiesewetter,93.68%,857.9065,115.35,133.84%,Carry Optics,M,,MINOR,TY118153,150,41,1,1,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,4,Albert Montanez 1,92.47%,846.8527,119.75,134.64%,PCC,M,,MINOR,TY101554,154,38,1,,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,5,Anthony Fong,91.74%,840.1897,117.99,121.55%,Open,M,,MINOR,A142224,153,36,4,,,1,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,6,Ralf Migrino,91.41%,837.1608,123.54,132.23%,Limited Optics,A,,MINOR,A132627,169,23,1,,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,7,Travis McKenzie,89.65%,821.0093,116.60,118.72%,Open,A,,MAJOR,L6340,132,43,18,,,2,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,8,Ryan Jaw,88.15%,807.2743,121.00,127.37%,Limited Optics,U,,MINOR,,152,37,4,,,1,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,9,Adam Bandiera,87.39%,800.3370,121.78,115.50%,Open,U,,MAJOR,Ty148375,149,37,4,3,,1,1,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,10,Vinh Lam,86.83%,795.2099,117.24,125.53%,Limited Optics,M,,MINOR,Ty101025,143,41,7,2,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,11,Tony Vale,85.74%,785.1726,123.51,113.65%,Open,A,,MAJOR,Ty153735,143,38,9,3,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,12,Heath Helgeson,84.98%,778.2147,125.80,123.03%,Limited Optics,A,,MINOR,A149129,147,43,2,1,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,13,Colin Kerrigan,83.31%,762.9799,120.79,119.46%,Carry Optics,M,,MINOR,,148,38,6,1,,4,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,14,Phillip Nguyen,82.64%,756.8474,114.47,118.72%,Limited Optics,M,,MINOR,TY152423,138,48,1,6,,1,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,15,Brandon Foss,81.78%,748.9059,131.05,118.42%,Carry Optics,M,,MINOR,L5142,148,38,7,,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,16,Brandon Padilla,81.60%,747.3334,127.70,118.91%,PCC,A,,MINOR,TY152988,140,45,8,,,1,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,17,Andrew Whitley,81.00%,741.8412,126.22,107.04%,Open,A,,MAJOR,,129,50,10,4,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,18,Shaundy Pepito,80.28%,735.2011,145.25,106.49%,Open,B,,MAJOR,Ty13568,158,34,1,,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,19,Matthew Givens,79.37%,726.8671,133.54,115.24%,PCC,A,,MINOR,Ty137686,136,50,7,,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,20,Marco Yue 2,79.34%,726.5843,137.76,114.22%,PCC,B,,MINOR,,144,39,7,3,,,,
86d914f3-1eaf-41ee-b8c7-e2cc68555ee6,Wallis Orchard Feb 2026USPSA Match,2026-02-15,21,Wade Pruetz,79.32%,726.3733,142.77,114.81%,Limited Optics,U,Senior,MINOR,TY79055,167,24,2,,,,,
