match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,1,Michael Hanover,100.00%,748.0424,97.56,108.88%,Open,M,,MAJOR,A146302,123,28,5,2,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,2,Taylor Snodgrass,96.52%,721.9887,96.71,104.96%,Open,A,,MAJOR,A159149,112,38,5,3,,1,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,3,Bobby Ivester,96.40%,721.0936,106.49,105.00%,Open,M,,MAJOR,A101336,127,26,5,,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,4,Ralf Migs 2,93.04%,695.9719,110.77,106.77%,Carry Optics,M,,MINOR,A132627,137,21,,,,,1,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,5,Brandon Foss,89.95%,672.8886,114.13,103.11%,Carry Optics,M,,MINOR,L5142,143,13,2,,,,1,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,6,Jim Havens,89.94%,672.7641,109.12,109.81%,Limited Optics,M,Senior,MINOR,A114636,128,29,,1,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,7,Joshua Chew,89.27%,667.8006,104.91,102.12%,Carry Optics,M,,MINOR,TY143381,131,19,5,3,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,8,Anthony Giuliano,84.19%,629.7434,118.18,96.87%,Carry Optics,A,Law Enforcement,MINOR,A152263,126,31,1,,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,9,Adriel Taylor 2,83.21%,622.4639,119.63,90.62%,Open,B,,MAJOR,A12345,123,30,3,2,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,10,Jack Liu,82.12%,614.2962,114.73,107.20%,PCC,M,Law Enforcement,MINOR,L6156,122,31,3,2,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,11,Jose Onia 2,81.39%,608.8065,112.94,99.96%,Limited Optics,U,,MINOR,A134359,119,33,4,2,,1,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,12,Christopher Boatcallie,79.52%,594.8392,122.05,102.91%,PCC,A,,MINOR,A104118,138,18,,2,,,2,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,13,Ryan Jaw 2,79.02%,591.0939,120.96,96.58%,Limited Optics,B,,MINOR,Ty142607,128,24,4,2,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,14,Zachary Ralston,78.46%,586.9377,120.90,96.49%,Limited Optics,A,,MINOR,A123081,134,19,1,4,,1,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,15,Cholai Sioson,78.17%,584.7383,122.85,85.14%,Open,U,,MAJOR,,129,22,3,4,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,16,Adam Bandiera,77.38%,578.8498,121.10,94.97%,Limited Optics,A,,MINOR,A148375,133,18,4,3,,1,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,17,Hunter Sparkman,76.88%,575.1289,121.10,88.52%,Carry Optics,A,Law Enforcement,MINOR,A165234,127,25,4,2,,1,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,18,Tyler Kenny,76.34%,571.0556,126.96,93.74%,Limited Optics,B,,MINOR,A148691,131,21,4,2,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,19,John Jung,75.62%,565.6498,132.80,92.68%,Limited Optics,B,,MINOR,A152968,136,19,2,1,,,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,20,Jake Honeycutt 2,75.07%,561.5270,122.48,85.60%,Carry Optics,U,,MINOR,A157597,126,24,6,2,,1,1,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,21,james rogers 2,74.62%,558.1578,132.32,91.41%,Limited Optics,B,Law Enforcement,MINOR,A101402,131,26,1,,,1,,
8a32723c-8885-48bf-afcb-25ccce44b263,GPS USPSA August Extra Saturday 2025,2025-08-30,22,Paul Beavers 2,72.08%,539.2034,126.76,112.86%,Production,A,,MINOR,TY123776,118,34,3,3,,,,
