match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,1,Justin Ikeda,100.00%,60.0000,7.23,60.00%,Open,U,Military,MAJOR,TY140820,7,5,,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,2,Dennis Dempster,97.07%,58.2443,6.50,60.00%,Production,B,,MINOR,TY115507,7,4,1,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,3,Matt Williams,96.99%,58.1930,7.59,59.95%,Production,A,,MINOR,Ty112998,10,2,,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,4,Jeff Turek,95.08%,57.0462,6.36,60.00%,Limited 10,B,Super Senior,MINOR,TY77891,5,7,,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,5,Bob Licence,91.39%,54.8315,7.48,54.83%,Open,U,,MAJOR,A134119,6,5,1,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,6,Jack Andenoro,85.45%,51.2672,8.00,60.00%,Carry Optics,U,,MINOR,A130776,8,4,,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,7,Nicholas Skovron,80.30%,48.1801,8.84,48.18%,Open,U,Military,MINOR,A129190,10,1,1,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,8,Erin Harapat,73.34%,44.0062,9.32,45.33%,Production,C,Lady,MINOR,A113085,8,4,,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,9,Jeremy Seneff,67.74%,40.6462,8.15,60.00%,Limited,U,,MINOR,,4,7,1,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,10,Andrew McDougall,65.52%,39.3133,6.42,46.01%,Carry Optics,B,,MINOR,ty101382,3,4,5,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,11,Todd Schleusner,65.46%,39.2731,9.64,45.96%,Carry Optics,U,,MINOR,A88070,7,4,1,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,12,Jack Spillman,61.14%,36.6852,8.60,37.79%,Production,U,Super Senior,MINOR,A73573,5,4,3,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,13,Byron Whitney,52.99%,31.7967,8.93,32.76%,Production,A,,MINOR,L4702,3,6,3,,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,14,Nick Deal,44.93%,26.9563,7.90,31.55%,Carry Optics,U,,MINOR,A133815,2,9,,1,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,15,Carol Fowler,43.42%,26.0540,9.99,27.40%,Limited 10,C,"Lady, Super Senior",MAJOR,TY77892,3,6,2,1,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,16,Keith Emineth,36.13%,21.6805,10.55,32.00%,Limited,U,,MINOR,A143158,5,4,2,1,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,17,Ian Licence,31.14%,18.6841,5.91,21.87%,Carry Optics,B,,MINOR,Ty107328,4,4,2,2,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,18,Levi Reeves,0.00%,0.0000,8.43,0.00%,Limited,U,,MINOR,,1,3,6,2,,,,
905a738b-2008-4a88-ac09-891e084315b4,"GPS Classifier USPSA Sep 03, 2022",2022-09-03,19,Matt Williams2,0.00%,0.0000,62.06,0.00%,Open,U,,MAJOR,A112998,3,2,,7,,,,
