match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,1,Mike Junco,100.00%,667.9053,89.18,97.61%,Limited Optics,M,"Senior, Law",MINOR,TY34819,112,33,4,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,2,August Balagtas,96.99%,647.8146,94.27,102.71%,Open,M,,MAJOR,L3674,106,37,5,1,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,3,Ethan Tran,94.51%,631.2457,96.61,103.64%,Carry Optics,U,,MINOR,A175810,117,31,1,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,4,Ralph Migrino,94.17%,628.9926,100.75,91.86%,Limited Optics,A,,MINOR,,120,21,6,2,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,5,Q Nguyen,92.82%,619.9769,98.40,98.88%,PCC,,Senior,MINOR,TY99688,119,26,4,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,6,Wade Pruetz,91.58%,611.6473,103.89,89.47%,Limited Optics,U,,MINOR,,133,15,1,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,7,Albert Legislador,90.67%,605.6193,95.05,96.18%,PCC,B,Senior,MINOR,TY91787,122,23,1,3,,,1,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,8,Matthew Lem,90.21%,602.5028,96.06,87.79%,Limited Optics,A,"Senior, Law",MINOR,A34763,110,34,4,1,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,9,Tony Phan,89.32%,596.5794,103.11,98.23%,Carry Optics,A,Law,MINOR,,127,21,1,,,1,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,10,John Jung,89.28%,596.2735,101.28,87.07%,Limited Optics,A,,MINOR,A152968,120,26,2,1,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,11,Ashley Krenek,88.82%,593.2612,102.89,97.64%,Carry Optics,B,Lady,MINOR,TY92392,118,30,1,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,12,James Newman,84.32%,563.1446,104.28,92.73%,Carry Optics,U,,MINOR,A159823,126,18,2,3,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,13,Travis Edwards,80.79%,539.6062,110.23,79.02%,Limited Optics,B,,MINOR,A107004,122,25,1,1,,1,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,14,jon Baguio,80.40%,537.0122,121.54,84.95%,Open,,,MAJOR,,101,39,8,1,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,15,Steven McNamara,80.09%,534.9099,111.42,78.20%,Limited Optics,B,Senior,MINOR,A75212,112,34,3,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,16,Phil Troung,79.81%,533.0804,107.89,83.47%,Open,B,,MAJOR,,104,36,4,5,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,17,Gerrit Milks,77.76%,519.3698,121.08,82.98%,PCC,U,Super Senior,MINOR,4688,133,13,2,1,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,18,Stephen Perez,77.45%,517.2843,117.43,85.06%,Carry Optics,C,Law,MINOR,a148878,122,26,,1,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,19,Mike Kahl,76.98%,514.1760,122.02,84.56%,Carry Optics,A,Distinguished Senior,MINOR,A70984,121,27,1,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,20,Angelo Guadalquiver,76.96%,514.0080,103.66,80.88%,Open,A,,MAJOR,A145293,111,23,8,7,,1,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,21,Jim O'Flaherty,75.20%,502.2527,119.24,73.63%,Limited Optics,B,,MINOR,FY100318,106,39,4,,,,,
914f8cad-3c89-4335-b723-e8edc26424e3,Baps USPSA January 2026,2026-01-17,22,Jerry McClain,74.17%,495.3600,116.44,72.42%,Limited Optics,C,Law,MINOR,A48726,104,37,7,1,,,,
