match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,1,Colin Kerrigan,100.00%,808.1246,89.18,123.32%,Limited Optics,U,,MINOR,A142731,155,21,1,,,1,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,2,Timothy Guerrero,96.54%,780.1714,89.18,112.41%,Open,M,,MAJOR,L4633,143,27,4,3,,,1,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,3,Phillip Nguyen,96.20%,777.3779,94.51,118.70%,Limited Optics,M,,MINOR,TY152423,156,21,,,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,4,Mel Rodero II,96.07%,776.3755,91.26,112.04%,Open,GM,,MAJOR,B100,143,29,3,2,,1,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,5,Albert Montanez,96.06%,776.2960,92.64,125.58%,PCC,M,,MINOR,A101554,149,27,1,,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,6,Jacob Tullis,94.79%,766.0392,95.99,110.27%,Open,A,,MAJOR,a140523,146,29,,2,,,1,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,7,Anthony Giuliano,91.13%,736.4247,96.77,119.47%,Carry Optics,M,Law Enforcement,MINOR,A152263,144,30,3,,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,8,Roger Feng,90.40%,730.5358,92.38,118.95%,Carry Optics,M,,MINOR,A157776,138,34,4,1,,1,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,9,James Bryant,87.59%,707.8207,99.07,115.84%,Carry Optics,M,,MINOR,Ty168985,138,37,2,,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,10,Jake Honeycutt,87.45%,706.6879,103.06,107.98%,Limited Optics,B,,MINOR,A157597,155,20,2,,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,11,John Jung,86.00%,695.0045,104.02,113.33%,Carry Optics,A,,MINOR,A152968,156,19,1,1,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,12,Claude Chew,85.11%,687.7619,104.38,111.97%,Carry Optics,A,,MINOR,TY143380,159,16,1,1,,,1,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,13,Andrew Whitley,84.23%,680.6726,105.19,98.28%,Open,A,,MAJOR,TY106649,128,47,1,1,,1,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,14,Hunter Sparkman,84.08%,679.4802,108.60,104.11%,Limited Optics,A,Law Enforcement,MINOR,A165234,156,21,,,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,15,Andre Wijaya,83.74%,676.6937,104.88,97.72%,Open,B,,MAJOR,A175473,130,38,8,1,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,16,Kyle Lingscheit 1,82.93%,670.1616,107.88,102.47%,Limited Optics,U,,MINOR,,161,15,,1,,,1,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,17,James Wong 2,82.88%,669.7533,102.72,108.87%,Carry Optics,B,,MINOR,A162844,143,30,2,2,,,,
96b43687-6e76-40ed-a04d-ffd70a7e88b0,Wallis Orchard APRIL 2026 SATURDAY USPSA Match,2026-04-11,18,Tyler Denmon 2,82.57%,667.2429,101.38,96.49%,Open,B,,MINOR,A156054,128,44,3,2,,,,
