match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,1,Jake Mansfield,100.00%,842.1690,115.43,126.38%,Carry Optics,A,,MINOR,A101123,140,41,2,,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,2,Bobby Ivester,97.18%,818.4337,121.70,128.11%,Open,M,,MAJOR,A101336,132,45,5,1,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,3,Wade Pruetz,91.24%,768.3583,120.90,120.27%,Open,A,Senior,MAJOR,Ty79055,111,58,13,1,,2,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,4,August Balagtas 2,90.71%,763.9162,131.95,119.65%,Open,M,,MAJOR,L3674,132,49,1,1,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,5,Albert Montanez,87.90%,740.2493,132.85,116.28%,Open,M,,MAJOR,TY101554,137,38,6,2,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,6,Vinh Lam,86.33%,727.0443,115.82,129.20%,Limited,M,,MAJOR,TY101025,104,69,4,6,,4,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,7,Matthew Michna,85.93%,723.7082,126.35,108.84%,Carry Optics,A,,MINOR,A128405,134,42,4,3,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,8,Andy Chen,85.70%,721.7357,133.25,108.58%,Carry Optics,M,,MINOR,A86721,146,31,4,2,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,9,Andrew Whitley,85.17%,717.2446,129.62,112.39%,Open,A,,MAJOR,TY-106649,113,57,10,3,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,10,Kevin Bunurai,84.91%,715.1215,128.89,107.02%,Carry Optics,M,,MINOR,TY105111,142,34,4,3,,1,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,11,Paul Felker 1,84.81%,714.2566,133.13,107.46%,Carry Optics,M,,MINOR,TY107123,136,43,3,1,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,12,Brandon Foss,84.68%,713.1485,128.42,107.15%,Carry Optics,M,,MINOR,L5142,139,37,4,3,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,13,Michael Kiesewetter,83.19%,700.6042,126.18,106.04%,Carry Optics,U,,MINOR,ty118153,134,43,1,5,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,14,Gary Wu,79.97%,673.4457,140.11,105.75%,Open,B,Senior,MAJOR,L2998,120,56,5,2,,2,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,15,Jim Havens 1,79.94%,673.2417,127.30,101.37%,Carry Optics,G,,MINOR,TY114636,128,45,6,4,,1,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,16,Michael Hanover 1,79.17%,666.7032,145.19,125.76%,Limited Optics,B,,MINOR,A146302,144,37,1,1,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,17,Roman Gwiscz,77.43%,652.0794,155.21,101.38%,Open,B,,MAJOR,L4670,114,62,5,2,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,18,Travis McKenzie,77.24%,650.4707,128.26,95.72%,Carry Optics,A,,MINOR,TY139201,118,53,6,6,,2,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,19,Marco Yue,76.97%,648.2132,116.02,114.17%,PCC,A,,MINOR,TY109190,108,56,11,8,,1,1,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,20,Khoa Nguyen,74.18%,624.7011,137.35,116.37%,Limited Optics,A,Law Enforcement,MINOR,A117224,132,40,6,5,,1,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,21,Steven McNamara,73.97%,622.9908,153.75,98.35%,Open,B,Senior,MAJOR,A752-2,143,33,4,3,,,1,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,22,JAY-R DELOS-SANTOS,73.68%,620.4741,156.75,96.76%,Open,C,Senior,MAJOR,A70297,134,40,6,3,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,23,Brian Kolenda,72.80%,613.1299,151.73,96.71%,Open,C,,MINOR,TY119637,134,40,8,1,,,,
9e83d572-e56a-49f1-b45a-cdcd57bd9012,Wallis Orchard Practical Shooters July 2023,2023-07-16,24,Sheng ONIA,71.64%,603.3437,144.89,113.24%,Limited Optics,U,Senior,MINOR,0,145,29,3,6,,,2,
