match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,1,Bobby Ivester,100.00%,589.6238,91.34,101.70%,Open,M,,MAJOR,A101336,100,31,,2,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,2,Corey Slifko,95.97%,565.8608,90.67,97.06%,Open,A,,MAJOR,,95,31,4,3,,,1,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,3,Dylan Lorence 4,93.70%,552.4701,97.73,94.99%,Open,B,Military,MAJOR,A123359,99,30,3,2,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,4,Paul Felker,93.58%,551.7865,103.31,101.96%,Carry Optics,M,,MINOR,Ty107123,113,21,1,,,,1,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,5,Mike Junco,85.50%,504.1382,103.24,93.31%,Carry Optics,M,Law Enforcement,MINOR,FY34819,109,20,2,2,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,6,Roman Gwiscz,84.11%,495.9537,102.90,85.36%,Open,B,,MAJOR,L4670,96,30,5,4,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,7,Alex Goben,80.19%,472.7899,114.55,86.99%,Carry Optics,A,,MINOR,A86498,115,17,,2,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,8,Luke Rogers,79.55%,469.0360,112.67,86.71%,Carry Optics,B,,MINOR,A133534,108,24,2,1,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,9,Andrew Whitley,78.66%,463.8075,100.61,79.34%,Open,,,MAJOR,TY106649,85,35,8,7,,,1,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,10,Tony Phan,76.16%,449.0603,109.64,82.93%,Carry Optics,A,,MINOR,FY11963,108,24,,3,,1,1,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,11,Kim Ivester,72.55%,427.7797,114.38,74.18%,Open,B,Lady,MAJOR,L4935,88,35,8,4,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,12,Ryan Alicaya 2,72.28%,426.2093,63.44,77.08%,Carry Optics,D,,MINOR,,78,21,3,,,,,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,13,Chris Nagala,72.19%,425.6616,118.66,73.48%,Open,B,,MINOR,TY97712,116,13,2,4,,,1,
a18fbbe1-663b-4f8c-92f7-740e45f96c43,BAPS USPSA November,2021-11-20,14,Pat Byrne,71.31%,420.4691,125.74,78.64%,Carry Optics,B,,MINOR,FY93921,109,24,,2,,,,
