match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,1,Gil Yolo 1,100.00%,789.6091,102.73,113.89%,Open,M,,MAJOR,L5228,130,36,3,4,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,2,Bobby Ivester,92.03%,726.6472,104.76,105.20%,Open,M,,MAJOR,A101336,120,41,8,4,,1,1,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,3,Brandon Foss,91.94%,726.0033,117.56,118.17%,Carry Optics,M,,MINOR,L5142,148,23,1,1,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,4,Chez Chike-Udenze,90.00%,710.6296,122.97,102.66%,Open,A,,MAJOR,A138598,142,28,2,1,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,5,Mike Junco,89.87%,709.5937,120.32,115.28%,Carry Optics,M,"Senior, Law Enforcement",MINOR,TY34819,140,29,4,,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,6,Jim Havens,87.75%,692.8864,122.97,113.80%,Limited Optics,M,Senior,MINOR,TY114636,150,20,1,2,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,7,Arnold Gee,85.11%,671.9990,131.93,97.74%,Open,B,Senior,MAJOR,Ty103519,140,30,3,,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,8,Michael Kiesewetter,84.90%,670.4153,122.62,97.15%,Open,U,,MAJOR,TY118153,130,35,4,4,,1,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,9,Jorge Cahas,84.03%,663.5192,127.42,96.69%,Open,B,Senior,MAJOR,F-44522,115,48,9,1,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,10,Olayemi Bakare,83.80%,661.6625,123.29,108.76%,Limited Optics,U,,MINOR,A105300,133,37,1,2,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,11,Paul Felker,83.51%,659.3740,122.03,107.36%,Carry Optics,M,,MINOR,TY107123,135,32,4,2,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,12,Khoa Nguyen 1,81.83%,646.1610,124.80,106.29%,Limited Optics,A,Law Enforcement,MINOR,A117224,129,37,7,,,1,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,13,Andy Chen,79.19%,625.2657,138.82,103.14%,Limited Optics,A,,MINOR,A86721,132,34,5,2,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,14,Christian Canizales,78.80%,622.2013,134.33,101.67%,Carry Optics,B,,MINOR,TY150265,135,36,2,,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,15,Jason Wells,78.73%,621.6639,129.38,102.16%,Limited Optics,U,,MINOR,L5218,144,24,3,2,,2,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,16,Adam Bandiera,78.16%,617.1894,137.76,100.38%,Carry Optics,B,,MINOR,A148375,144,28,,1,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,17,Abrahan Figueroa,76.39%,603.2014,143.62,87.79%,Open,C,Senior,MAJOR,TY54053,131,39,1,2,,,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,18,August Balagtas,76.03%,600.3287,118.53,98.69%,Limited Optics,M,,MINOR,L3674,122,40,7,4,,3,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,19,Qingbang Cai,75.21%,593.8421,123.89,96.87%,Carry Optics,A,,MINOR,A148273,117,44,9,3,,1,,
a37330dc-580f-4b52-8efd-4e466a25963a,GPS USPSA October 2023,2023-10-29,20,Dr. Miguelito Loveless,75.09%,592.8940,148.34,123.57%,Limited,U,,MAJOR,TY123776,133,37,3,,,,,
