match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,1,Zvi Davidoff,100.00%,739.7487,99.99,105.84%,Open,M,,MAJOR,TY68524,102,50,6,4,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,2,Wade Pruetz,97.44%,720.8127,107.51,103.15%,Open,A,Senior,MAJOR,Ty79055,126,29,3,4,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,3,Gil Yolo,93.75%,693.5127,99.32,99.23%,Open,A,,MAJOR,A100714,104,45,6,7,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,4,Kevin Bunurai,91.53%,677.0658,112.32,110.31%,Carry Optics,M,,MINOR,TY105111,124,33,3,2,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,5,Roman Gwiscz,89.04%,658.6848,126.95,107.59%,Carry Optics,A,,MINOR,L4670,141,18,3,,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,6,Vinh Lam,85.28%,630.8452,113.09,106.44%,Limited,A,,MAJOR,TY101025,101,53,4,4,,2,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,7,Steven McNamara,80.92%,598.6095,141.89,85.66%,Open,B,Senior,MAJOR,A75212,140,21,1,,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,8,Henry Wong,80.28%,593.8424,134.28,96.97%,Carry Optics,U,,MINOR,0,130,28,4,,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,9,Craig Bellamy,79.54%,588.3811,137.05,115.50%,Single Stack,A,Law Enforcement,MAJOR,TY54824,135,23,2,2,,1,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,10,Janice Pacleb,78.23%,578.7206,130.67,82.82%,Open,B,Lady,MAJOR,TY75597,103,50,7,2,,2,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,11,John Brunkhorst,77.58%,573.8798,132.52,93.13%,Carry Optics,B,,MINOR,A116144,133,23,3,3,,1,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,12,Khoa Nguyen 1,76.24%,563.9752,132.60,91.80%,Carry Optics,B,Law Enforcement,MINOR,A117224,127,29,2,4,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,13,Matthew Gonzalez 1,73.55%,544.0972,128.03,88.77%,Carry Optics,B,,MINOR,A119810,123,30,3,6,,,1,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,14,Garrick Gonzalez,72.20%,534.0834,129.35,87.68%,Carry Optics,B,,MINOR,A119804,117,32,7,6,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,15,Jason Wells,71.93%,532.0806,124.74,89.30%,Limited,B,,MAJOR,TY101006,109,40,3,10,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,16,Ezekiel Adaclog 2,69.10%,511.1880,126.28,83.50%,Carry Optics,B,,MINOR,A98351,113,33,10,6,,2,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,17,Mike Kahl,68.85%,509.3504,162.93,83.93%,Carry Optics,B,Super Senior,MINOR,TY70984,148,13,,1,,1,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,18,Abrahan Figueroa,68.54%,507.0401,142.16,72.57%,Open,C,Senior,MAJOR,Ty54053,85,61,12,4,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,19,Marchoni Aquino,68.06%,503.4773,157.01,114.54%,PCC,D,,MINOR,A124540,123,36,3,,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,20,Jun Wu 2,66.79%,494.0792,163.96,80.33%,Carry Optics,C,,MINOR,TY104927,133,24,2,3,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,21,Doug Joder,64.70%,478.6165,148.12,108.27%,PCC,C,,MINOR,A115020,109,44,7,2,,1,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,22,Carlos Escandon,64.59%,477.8376,157.81,94.49%,Single Stack,B,Super Senior,MAJOR,L2590,120,34,5,3,,2,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,23,Adriel Taylor,62.99%,465.9391,143.66,66.71%,Open,U,,MAJOR,A-104321,116,34,2,10,,,,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,24,Antonio Tormis,62.50%,462.3193,152.08,76.09%,Carry Optics,C,,MINOR,A124958,106,48,5,3,,,2,
a6f15df7-c69a-4426-bf14-33fb25ad077e,GPS USPSA August 2021,2021-08-22,25,William Chan,62.01%,458.6904,111.79,75.65%,Carry Optics,A,,MINOR,TY97870,91,49,9,13,,,,
