match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,1,Jason Brinkley,100.00%,619.1073,99.34,106.67%,Limited,G,,MAJOR,,95,30,2,1,,2,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,2,Scott Reeh,89.48%,553.9915,115.13,103.87%,PCC,U,,MINOR,,113,14,,1,,2,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,3,Jeffrey Polk 1,77.26%,478.3377,126.57,101.87%,Carry Optics,D,,MINOR,,97,29,2,,,1,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,4,Mike Benitez,73.09%,452.4881,130.82,85.39%,PCC,U,,MINOR,,112,13,,3,,3,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,5,Ryan Alicaya,67.59%,418.4588,155.58,72.53%,Limited,U,,MAJOR,,102,22,1,3,,,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,6,Jim Havens,62.15%,384.7719,168.84,81.62%,Carry Optics,C,,MINOR,,111,12,2,3,,,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,7,Adam Weinstein,61.12%,378.4017,134.93,71.60%,PCC,U,,MINOR,,94,24,5,5,,1,1,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,8,Bill Kinstley,49.76%,308.0651,167.90,52.77%,Limited,C,,MAJOR,,94,26,,8,,2,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,9,Adam Weinstein 1,47.87%,296.3942,170.34,61.56%,Carry Optics,U,,MINOR,,97,18,2,11,,4,1,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,10,Lauryn Berger,46.17%,285.8709,184.17,50.21%,Limited,,Lady,MAJOR,,91,28,2,7,,2,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,11,Chuck Hain,39.06%,241.7990,200.81,41.45%,Limited,,,MINOR,,104,16,1,7,,3,2,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,12,Mike Sakach,30.01%,185.7941,265.33,32.17%,Limited,,,MINOR,,100,20,,8,,3,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,13,Rosalyn Polk,8.54%,52.9009,656.63,93.33%,Production,U,,MINOR,,75,32,7,14,,1,1,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,14,Kevin Fontenot,0.00%,0.0000,,0.00%,Production,C,,MINOR,,,,,,,,,
b1a85435-7cd2-487c-8698-630061810707,Wallis Orchard 20JUN19,2019-06-20,15,William Smith,0.00%,0.0000,329.76,0.00%,Open,,,,,71,24,5,28,,6,,
