match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,1,Vinh Lam,100.00%,739.1527,93.97,116.43%,Limited,M,,MAJOR,TY101025,120,34,8,1,,1,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,2,Edwin Garcia,99.23%,733.4722,94.85,108.36%,Open,G,,MAJOR,TY38396,108,51,3,1,,1,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,3,Chez Chike-Udenze,99.14%,732.8168,90.09,108.70%,Open,A,,MAJOR,A138598,102,51,7,3,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,4,Brandon Foss,99.10%,732.5273,98.32,116.40%,Carry Optics,M,,MINOR,L5142,139,22,2,,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,5,Duane Mendoza 1,96.99%,716.9277,96.88,106.16%,Open,B,,MAJOR,TY98162,100,56,6,1,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,6,Michael Hanover,96.41%,712.6013,98.41,109.88%,Limited Optics,A,,MINOR,A146302,129,30,4,,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,7,Travis McKenzie,96.03%,709.8134,98.05,109.29%,Limited Optics,M,,MINOR,L6340,125,37,1,,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,8,Andy Chen,94.48%,698.3727,98.72,107.21%,Limited Optics,A,,MINOR,A86721,132,27,3,1,,1,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,9,Jose Onia 2,87.83%,649.2076,102.18,99.61%,Limited Optics,C,Senior,MINOR,A134359,127,30,4,2,,1,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,10,Jim Havens,86.36%,638.3389,116.11,98.17%,Limited Optics,M,Senior,MINOR,TY114636,136,25,2,,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,11,Christian Canizales 1,83.14%,614.5648,101.95,98.19%,Carry Optics,A,,MINOR,TY150265,114,38,8,3,,,1,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,12,Manny Nerona,76.99%,569.0985,113.22,91.10%,Carry Optics,B,,MINOR,A69445,122,26,13,2,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,13,Anji Xu,76.69%,566.8648,118.37,90.35%,Carry Optics,B,,MINOR,FY135340,116,46,1,,,,1,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,14,Don Sanders,75.58%,558.6286,123.62,82.90%,Open,B,Senior,MAJOR,FY46389,102,47,12,2,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,15,Pete Kirchner,75.08%,554.9327,118.39,88.50%,Carry Optics,A,,MINOR,TY105743,118,40,3,2,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,16,Chev Jacot,74.68%,551.9764,118.38,81.64%,Open,B,,MAJOR,TY72378,107,46,6,4,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,17,Jesse Harrington,71.69%,529.8875,126.69,84.53%,Carry Optics,B,,MINOR,A153046,113,48,2,,,1,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,18,Abe Valdez 1,71.65%,529.6149,129.20,84.82%,Carry Optics,B,,MINOR,A148541,132,27,3,1,,,2,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,19,Ross Winningham,70.96%,524.5006,120.09,80.84%,Limited Optics,U,,MINOR,A159283,119,37,4,3,,,1,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,20,Jon Baguio 2,70.62%,521.9549,97.69,76.89%,Open,C,,MAJOR,A101177,93,40,9,3,,1,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,21,Pocholo Dimayuga,70.38%,520.2436,134.23,82.83%,Carry Optics,C,,MINOR,A106236,131,28,3,1,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,22,Jason Wilson 2,69.51%,513.7747,145.79,116.43%,Single Stack,M,,MAJOR,A94696,140,21,2,,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,23,Amber Chike-Udenze,69.43%,513.1970,121.03,94.25%,PCC,U,Lady,MINOR,A138974,98,56,8,1,,,,
b87e3758-3155-4c97-ad5a-f87091bdb73e,Bayou City Monthly August 11 at Oilfield Sports Complex,2024-08-11,24,Kenedy Nguyen,69.29%,512.1783,129.34,78.52%,Limited Optics,U,,MINOR,A83862,111,45,7,,,,,
