match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,1,Chris Snow,100.00%,757.3917,94.66,108.20%,Open,A,,MAJOR,A107262,110,41,2,,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,2,Albert Montanez 2,90.65%,686.5957,102.08,98.09%,Open,M,Lady,MAJOR,TY101554,118,31,3,1,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,3,Trevor Cotter,89.37%,676.8848,94.52,96.70%,Open,M,,MAJOR,A108348,97,45,8,3,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,4,Gil Yolo 2,85.03%,644.0261,90.68,92.00%,Open,A,,MAJOR,A100714,96,41,8,8,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,5,Wade Pruetz,84.92%,643.2110,107.29,91.89%,Open,A,,MAJOR,TY79055,106,40,5,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,6,Brandon Foss 2,80.92%,612.9101,113.21,99.06%,Carry Optics,A,,MINOR,FY92765,123,26,3,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,7,Ross Apffel,80.74%,611.5342,111.73,108.60%,Limited,B,,MAJOR,L4428,100,41,11,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,8,Steven McNamara,77.88%,589.8775,122.07,84.27%,Open,B,Senior,MAJOR,A75212,110,41,2,,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,9,Matt Lem,77.00%,583.2176,113.19,94.56%,Carry Optics,A,,MINOR,FY34763,115,30,7,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,10,Ryan Alicaya,75.06%,568.5247,110.44,92.04%,Carry Optics,C,,MINOR,A106355,107,35,9,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,11,Mike Junco,72.65%,550.2601,115.86,88.71%,Carry Optics,A,,MINOR,FY34819,112,34,4,3,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,12,Scott Reeh,72.12%,546.2146,117.90,88.57%,Carry Optics,A,,MINOR,A91497,112,34,5,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,13,Arnold Gee,72.01%,545.3793,119.37,77.91%,Open,B,,MAJOR,TY103519,87,54,10,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,14,Mengyu Yue,71.48%,541.3612,110.41,109.01%,PCC,B,,MINOR,TY109190,111,33,4,5,,,1,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,15,Kyle Mccord 1,71.02%,537.9120,125.38,109.29%,Production,M,,MINOR,Ty100128,116,33,3,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,16,Roman Gwiscz,70.98%,537.6129,131.33,87.17%,Carry Optics,A,,MINOR,L4670,125,26,2,,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,17,Jeffrey Polk,67.78%,513.3791,123.90,82.95%,Carry Optics,B,,MINOR,TY104167,108,38,5,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,18,John Brunkhorst,65.82%,498.5300,135.19,80.23%,Carry Optics,B,,MINOR,A116144,123,25,3,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,19,Jason Wells 1,64.95%,491.9016,123.74,87.82%,Limited,B,,MAJOR,TY101006,107,34,5,7,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,20,Matthew Gonzalez,63.37%,479.9366,126.76,77.62%,Carry Optics,C,,MINOR,A119810,100,46,5,2,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,21,William Chan,61.77%,467.8388,114.32,66.83%,Open,U,,MAJOR,TY97870,85,40,15,13,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,22,Garrick Gonzalez,61.11%,462.8329,130.60,74.78%,Carry Optics,B,,MINOR,A119804,108,34,6,5,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,23,Jim Havens 2,60.29%,456.6304,119.56,73.74%,Carry Optics,A,,MINOR,a114636,86,52,12,3,,2,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,24,Pat Byrne,59.11%,447.7227,159.56,107.47%,Single Stack,B,Super Senior,MAJOR,FY93921,112,37,4,,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,25,Doug Joder,58.44%,442.6402,147.72,91.25%,PCC,U,,MINOR,A115020,100,40,12,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,26,Abrahan Figueroa,58.22%,440.9753,149.37,63.00%,Open,C,Senior,MAJOR,TY54053,84,54,13,2,,2,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,27,Zachary Ralston,57.42%,434.9278,109.46,71.31%,Carry Optics,B,,MINOR,A123081,106,27,1,19,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,28,Antonio Tormis,55.50%,420.3339,150.42,67.81%,Carry Optics,C,,MINOR,A124958,104,40,7,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,29,Tony De vega,55.02%,416.7184,149.19,59.53%,Open,B,Super Senior,MAJOR,A30373,106,36,6,5,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,30,Bill Kinstley,54.93%,416.0540,160.30,75.13%,Limited,B,,MAJOR,A104836,106,35,10,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,31,Tom Donahue,53.47%,404.9802,163.39,57.85%,Open,C,Super Senior,MAJOR,TY69009,111,34,5,3,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,32,Bryan Faustino,51.75%,391.9248,147.19,63.30%,Carry Optics,D,,MINOR,A115127,90,52,7,4,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,33,Gary Wu,51.69%,391.5171,175.23,70.57%,Limited,B,,MINOR,L2998,107,40,6,,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,34,Carlos Escandon,51.44%,389.5817,156.87,93.31%,Single Stack,B,Senior,MAJOR,L2590,93,45,9,6,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,35,Marchoni Aquino,50.58%,383.0643,209.13,79.75%,PCC,U,,MINOR,A124540,113,36,3,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,36,Jun Wu,50.38%,381.6104,162.09,61.66%,Carry Optics,U,,MINOR,A104927,109,34,7,3,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,37,Gennady Khokhorin 1,49.41%,374.2439,170.87,77.48%,Production,C,Senior,MINOR,A123884,102,41,9,1,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,38,Taylor Latham,47.87%,362.5645,163.86,86.58%,Single Stack,B,Senior,MAJOR,TY39841,93,42,10,8,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,39,Emmanuel Alcoseba,45.77%,346.6607,199.94,62.47%,Limited,C,Senior,MAJOR,TY67519,119,28,5,1,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,40,Brett Thompson,44.89%,340.0221,157.37,67.97%,Production,B,Senior,MINOR,TY83644,108,31,5,9,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,41,Luther Rogers,44.57%,337.5720,178.29,54.36%,Carry Optics,,,MINOR,A133534,130,13,3,7,,,2,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,42,Kevin Baker,42.13%,319.0626,156.47,64.74%,Production,C,,MINOR,A95439,86,47,13,7,,2,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,43,Allan Santiago,41.81%,316.6710,201.98,56.74%,Limited,D,,MAJOR,A109328,90,52,9,2,,1,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,44,young david,41.43%,313.8182,187.95,44.83%,Open,U,,MINOR,Ty130791,94,47,9,3,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,45,Dale Hamm,41.01%,310.5704,206.15,55.14%,Limited,C,Senior,MAJOR,TY97196,96,41,12,4,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,46,Page Brunkhorst,40.61%,307.5926,223.81,73.84%,Single Stack,C,Senior,MAJOR,L4903,102,43,5,3,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,47,Donald Brown,35.51%,268.9794,244.99,43.54%,Carry Optics,D,Military,MINOR,A121155,121,23,6,3,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,48,Jack Liu,35.22%,266.7861,229.64,42.88%,Carry Optics,U,,MINOR,,92,44,15,2,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,49,Gary Brisco,33.52%,253.8962,217.29,51.65%,PCC,C,Super Senior,MINOR,FY73704,88,52,7,6,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,50,JR Roberts,29.97%,227.0200,235.49,53.88%,Single Stack,D,,MINOR,A102739,101,29,15,8,,,,
c1bf6052-aceb-4fc5-9ce2-727ccacec432,GPS March 2021 at Wallis-Orchard Gun Range,2021-03-28,51,Eric Wu,6.20%,46.9879,177.22,11.07%,Production,C,,MINOR,,52,14,3,19,,,,
