match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,1,Patrick Furey,100.00%,176.0682,17.53,88.03%,Production,B,,MINOR,TY109180,27,9,,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,2,Matt Williams,97.25%,171.2195,17.35,85.61%,Production,B,,MINOR,A112998,24,12,,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,3,Nick Deal,86.86%,152.9370,18.15,88.36%,PCC,C,,MINOR,A133815,29,7,,,,,2,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,4,Robert Henneman,83.21%,146.5041,20.02,73.25%,Production,C,Senior,MINOR,TY122352,23,13,,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,5,Todd Arnold,79.84%,140.5816,21.71,90.00%,Open,U,,MINOR,A122258,27,8,1,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,6,Brad Bends,64.02%,112.7200,18.42,90.00%,Limited 10,U,Super Senior,MINOR,TY69832,16,15,3,2,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,7,Jon Minnihan,58.59%,103.1670,18.51,64.06%,Open,U,,MAJOR,TY126628,16,14,6,,,2,3,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,8,Justin Pritchard,54.21%,95.4534,24.66,47.73%,Production,U,,MINOR,FY123958,17,13,5,1,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,9,Matt Williams,49.94%,87.9238,9.05,43.96%,Production,B,,MINOR,A112998,16,2,,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,10,Nick Deal,48.75%,85.8364,9.27,45.00%,PCC,C,,MINOR,A133815,16,2,,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,11,Byron Whitney,47.29%,83.2615,8.89,41.63%,Production,B,,MINOR,L4702,13,5,,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,12,Ian Licence,36.93%,65.0206,17.39,32.51%,Production,B,,MINOR,TY107328,14,15,4,3,,2,1,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,13,Patrick Furey,33.60%,59.1664,9.07,29.58%,Production,B,,MINOR,TY109180,7,6,5,,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,14,Dustin DeMars,27.57%,48.5402,16.18,45.00%,Limited,U,,MAJOR,A134184,11,8,1,4,,1,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,15,Byron Whitney 2,12.23%,21.5303,21.91,10.77%,Production,B,,MINOR,L4702,20,8,1,7,,2,2,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,16,Ian Licence,11.34%,19.9602,14.37,9.98%,Production,B,,MINOR,TY107328,11,5,1,1,,2,1,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,17,George DeMars,9.84%,17.3255,71.36,90.00%,Carry Optics,U,Junior,MINOR,A135848,9,13,11,3,,,,
cb5a5d6b-0eba-43ac-8707-e1ebef4d2561,GPS Wednesday Night USPSA Mini-match 7/21/21,2021-07-20,18,Justin Pritchard,6.80%,11.9717,16.23,5.99%,Production,U,,MINOR,FY123958,11,5,1,1,,1,3,
