match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,1,Albert Montanez,100.00%,691.1823,68.11,115.20%,Open,,,MAJOR,TY101554,100,35,5,,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,2,Corey Slifko,95.87%,662.6418,68.78,110.44%,Open,A,,MAJOR,TY82935,102,33,4,1,,1,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,3,Wade Pruetz,89.53%,618.7982,73.13,103.13%,Open,A,,MAJOR,,95,40,4,1,,1,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,4,Duane Mendoza,89.43%,618.1166,73.99,103.02%,Open,B,,MINOR,X,106,28,4,,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,5,Derek Rabuck,79.68%,550.7189,79.68,110.82%,PCC,B,,MINOR,TY91331,101,34,4,1,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,6,Ryan Alicaya,78.82%,544.7745,81.71,90.80%,Open,D,,MAJOR,,98,31,9,2,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,7,Brian Whelihan,76.18%,526.5432,93.39,87.76%,Open,,,MAJOR,,120,20,,,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,8,Juliann Milks,75.42%,521.3182,81.52,105.48%,PCC,B,,MINOR,,100,32,6,2,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,9,Steven McNamara 1,75.21%,519.8550,89.76,86.64%,Open,B,Senior,MAJOR,A75212,103,33,3,1,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,10,Randy Goodney,74.89%,517.6272,89.21,86.27%,Open,A,Senior,MAJOR,A94852,89,43,8,,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,11,Michael Whitley,73.71%,509.4622,91.93,84.91%,Open,,,MAJOR,A111091,105,28,3,4,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,12,Gerrit Milks,72.16%,498.7561,92.10,101.32%,PCC,A,Super Senior,MINOR,A67608,113,25,1,1,,,,
d71c427a-b00b-484f-a898-62d29eaa4dd7,BAPS USPSA July,2021-07-17,13,Mike Junco,71.90%,496.9310,86.60,105.88%,Carry Optics,M,Law Enforcement,MINOR,FY34819,104,32,2,2,,,,
