match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,1,Olayemi Bakare,100.00%,915.6571,102.23,138.92%,Open,A,,MAJOR,A105300,155,35,4,1,,,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,2,Anthony Fong,96.41%,882.8249,99.44,130.58%,Limited Optics,M,,MINOR,A142224,163,27,1,4,,,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,3,Albert Montanez,91.61%,838.8566,109.89,134.93%,PCC,M,,MINOR,TY101555,158,36,,1,,1,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,4,Jacob Tullis,90.30%,826.8179,108.40,122.37%,Limited Optics,M,,MINOR,A140523,159,33,1,2,,,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,5,Travis McKenzie,90.12%,825.2000,107.69,122.30%,Limited Optics,M,,MINOR,L6340,156,33,5,1,,1,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,6,Hunter Sparkman,90.05%,824.5516,108.11,136.34%,Carry Optics,M,Law Enforcement,MINOR,A165234,158,31,4,2,,,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,7,Will Goglas 2,89.45%,819.0324,106.22,124.74%,Open,B,,MAJOR,A154790,130,58,4,3,,,1,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,8,Ryan Jaw,88.51%,810.4709,114.78,119.90%,Limited Optics,U,,MINOR,TY114290,161,31,2,1,,,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,9,Heath Helgeson,88.06%,806.3703,111.22,119.18%,Limited Optics,A,,MINOR,a149129,157,35,1,2,,,,
e36cd05a-0d6f-4111-9a79-412bbd738f30,Thunder Tactical Shooters USPSA Match 13DEC2025,2025-12-13,10,Garrett Pressler,86.56%,792.6090,115.36,117.20%,Limited Optics,A,Junior,MINOR,A165603,168,25,,2,,,,
