match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,1,Wade Pruetz,100.00%,673.1157,92.87,115.31%,Open,A,Senior,MAJOR,TY79055,114,18,4,2,,1,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,2,Sheng Onia,97.62%,657.0689,93.31,112.86%,Open,U,,MINOR,,119,23,2,3,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,3,August Balagtas,92.48%,622.4833,97.91,106.27%,Open,M,,MAJOR,L3674,111,32,1,3,,2,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,4,Jay-R Delos-Santos,91.76%,617.6510,105.88,116.19%,PCC,B,Senior,MINOR,A70297,124,13,1,,,,1,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,5,Daniel Alexander,91.32%,614.6796,107.03,114.53%,PCC,U,,MINOR,,132,15,,,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,6,Adam Bandiera,90.16%,606.8728,101.60,113.27%,Limited Optics,U,,MINOR,A148375,122,22,1,2,,1,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,7,Alex Goben,88.20%,593.7197,109.98,110.52%,Limited Optics,B,,MINOR,L5929,123,20,3,1,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,8,Randy Goodney,87.72%,590.4808,112.12,101.49%,Open,A,Senior,MAJOR,A94852,120,23,3,1,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,9,Gerrit Milks,86.12%,579.6877,112.92,108.40%,PCC,A,Super Senior,MINOR,A67608,128,19,,,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,10,Roman Gwiscz,83.60%,562.6962,114.12,113.43%,Carry Optics,A,,MINOR,L4670,124,11,1,1,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,11,Jerry McClain,82.23%,553.4744,119.12,122.50%,Limited,B,,MAJOR,A48726,117,26,4,,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,12,Ryan Alicaya 1,79.25%,533.4192,111.92,99.96%,Limited Optics,D,,MINOR,,116,27,2,2,,2,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,13,Pat Byrne,75.77%,510.0152,129.50,103.55%,Carry Optics,B,Senior,MINOR,FY93921,126,16,1,,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,14,Paul Torre,75.65%,509.2108,122.89,103.85%,Carry Optics,U,Law Enforcement,MINOR,A88028,121,18,3,1,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,15,Dwight Trautmann,75.44%,507.7696,116.62,87.61%,Open,U,Military,MINOR,A147361,114,16,2,3,,1,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,16,David Campbell,75.16%,505.8876,122.98,87.60%,Open,U,,MAJOR,,104,32,10,1,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,17,Brian Whelihan,74.90%,504.1668,124.28,94.09%,Limited Optics,A,Senior,MINOR,,127,17,,2,,1,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,18,Matt Lem,74.25%,499.7899,115.44,100.93%,Carry Optics,M,"Senior, Law Enforcement",MINOR,A34763,109,29,6,3,,1,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,19,Marlon Poralan,73.82%,496.8674,122.29,85.91%,Open,G,,MAJOR,,114,21,6,4,,,,
e4bef714-f7c5-4be5-a243-524a41e69568,BAPS USPSA May 2024,2024-05-18,20,George Zhou,73.40%,494.0909,129.18,99.89%,Carry Optics,C,,MINOR,A146179,113,28,5,1,,,,
