match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,1,Bobby Ivester,100.00%,832.7502,107.35,121.69%,Open,M,,MAJOR,A101336,140,26,4,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,2,Zachary Ralston 2,88.41%,736.2062,112.76,112.46%,Limited Optics,U,,MINOR,A123081,131,37,1,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,3,Brandon Foss,87.20%,726.1587,119.42,112.14%,Carry Optics,M,,MINOR,L5142,145,21,3,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,4,Jim Havens,85.45%,711.6039,116.39,108.54%,Limited Optics,M,Senior,MINOR,A114636,146,19,2,4,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,5,Andrew Whitley,81.19%,676.0944,127.71,99.23%,Open,A,,MAJOR,TY106649,132,32,3,4,,,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,6,Andrew Yeh,81.09%,675.2385,117.41,103.04%,Limited Optics,B,,MINOR,TY128067,123,41,4,3,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,7,Jason Wells,81.01%,674.6425,128.39,122.14%,Limited 10,U,,MAJOR,L5218,131,32,6,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,8,Berrhett Foss,78.91%,657.0997,140.37,101.92%,Carry Optics,B,,MINOR,A143624,153,18,,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,9,Heath Helgeson,77.99%,649.4264,126.72,98.66%,Limited Optics,U,,MINOR,A149129,141,24,,6,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,10,Tony Vale,77.95%,649.0988,112.62,100.22%,Carry Optics,A,,MINOR,A153735,119,42,4,6,,1,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,11,Christopher Boatcallie,77.33%,643.9284,134.41,120.00%,PCC,A,,MINOR,A104118,144,23,3,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,12,Henry Wong,76.22%,634.7292,145.81,92.58%,Open,U,,MINOR,0,151,18,1,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,13,Jerry Bedro,75.87%,631.7920,136.27,91.84%,Open,C,,MAJOR,A98263,142,22,3,4,,,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,14,Roger Feng,74.97%,624.3175,126.81,96.63%,Carry Optics,B,,MINOR,A157776,129,34,4,4,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,15,Jeremiah Hunt,74.62%,621.4054,135.95,90.42%,Open,U,,MAJOR,A148592,118,42,6,5,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,16,Gil Yolo,74.50%,620.3671,116.75,96.15%,Carry Optics,M,,MINOR,L5228,126,34,4,7,,1,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,17,Khoa Nguyen,74.42%,619.6935,133.70,122.01%,Limited,A,Law Enforcement,MAJOR,A117224,113,48,6,4,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,18,David Zhang,74.37%,619.3352,147.87,90.66%,Open,C,,MAJOR,FY140383,141,27,3,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,19,Joshua Chew,72.95%,607.4636,139.35,91.82%,Limited Optics,A,Junior,MINOR,TY143381,139,23,3,6,,2,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,20,Claude Chew,72.30%,602.1005,148.30,93.34%,Carry Optics,A,,MINOR,TY143380,150,18,2,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,21,Marlon Poralan,70.76%,589.2353,143.45,109.74%,PCC,D,Law Enforcement,MINOR,Ty1234,126,40,5,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,22,Lee Cardwell,70.72%,588.9145,128.18,91.29%,Carry Optics,B,,MINOR,A155173,119,42,6,4,,1,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,23,Stormtrooper Qian,70.66%,588.4277,149.72,89.95%,Limited Optics,C,,MINOR,A150939,148,21,1,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,24,Brandon Hunt,69.98%,582.7925,135.10,85.33%,Open,U,,MAJOR,FY150701,129,35,1,6,,,2,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,25,Travis Edwards,69.96%,582.5879,150.84,88.68%,Limited Optics,C,,MINOR,A107004,141,29,1,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,26,Robert Strong,69.83%,581.5369,155.29,84.86%,Open,U,,MINOR,A135331,146,21,4,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,27,Marco Yue,69.20%,576.2353,137.26,88.14%,Limited Optics,U,,MINOR,L5762,135,29,4,3,,,2,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,28,Arnold Gee 2,69.15%,575.8404,150.36,84.25%,Open,B,Senior,MAJOR,A103519,129,37,2,3,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,29,Steven McNamara,66.93%,557.3768,156.75,82.12%,Open,B,Senior,MAJOR,A75212,137,30,1,3,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,30,Tyler Kenny,66.37%,552.7310,147.65,79.98%,Open,U,,MINOR,A148691,145,23,2,1,,,6,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,31,Steven McKinney,66.04%,549.9744,158.23,85.14%,Carry Optics,C,,MINOR,A104027,146,23,,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,32,Kim Ivester,65.80%,547.9466,157.42,79.86%,Open,B,Lady,MAJOR,L4935,122,43,3,3,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,33,Doug Joder,65.65%,546.7004,149.93,101.48%,PCC,B,,MINOR,TY115020,131,34,4,2,,1,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,34,Eric Wu,65.14%,542.4470,160.67,82.54%,Limited Optics,B,,MINOR,FY104740,139,27,4,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,35,John Ren,64.13%,534.0454,149.60,82.67%,Carry Optics,U,,MINOR,,129,36,4,2,,2,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,36,christopher bulkley,63.99%,532.8729,162.24,82.40%,Carry Optics,C,,MINOR,A159469,132,39,,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,37,Abrahan Figueroa,62.73%,522.3503,161.20,79.67%,Limited Optics,C,Senior,MINOR,TY54053,135,33,1,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,38,Cliff Pinsent,61.80%,514.6500,169.54,78.60%,Limited Optics,C,Distinguished Senior,MINOR,FY99321,148,20,3,,,2,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,39,Jennifer Kleiber-Boatcallie,61.64%,513.3265,174.95,95.57%,PCC,B,Lady,MINOR,A142192,158,10,1,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,40,Mike Pontious,60.68%,505.2939,148.84,77.05%,Limited Optics,B,Senior,MINOR,A94575,119,43,4,5,,,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,41,Skywalker Xiang 2,60.43%,503.2159,161.48,76.98%,Limited Optics,U,,MINOR,A164967,118,46,6,1,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,42,hayden boatcallie,59.86%,498.4546,163.38,93.20%,PCC,C,,MINOR,A143344,134,34,1,2,,,2,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,43,Gary Wu,59.00%,491.2837,145.06,105.00%,Production,B,Senior,MINOR,L2998,130,27,5,9,,1,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,44,Virak Meas,54.99%,457.9377,157.32,69.57%,Limited Optics,U,Senior,MINOR,Oo,127,31,4,9,,1,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,45,Carlos Escandon,54.38%,452.8345,196.44,122.14%,Single Stack,A,Super Senior,MAJOR,L2590,116,45,7,3,,2,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,46,Gabriel Nguyen,51.49%,428.7843,147.95,64.70%,Limited Optics,U,,MINOR,A163845,116,36,9,10,,1,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,47,Ben Castagno 3,51.04%,425.0365,201.69,65.68%,Carry Optics,,,MINOR,,135,33,3,,,1,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,48,Pete Tsekouras,47.56%,396.0264,201.11,80.88%,Limited,U,,MINOR,A147367,129,35,4,3,,,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,49,Dan Schreiber,46.17%,384.4803,228.14,59.39%,Carry Optics,C,Super Senior,MINOR,A147899,155,12,2,2,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,50,Jeremiah Chew,44.19%,368.0284,229.57,56.97%,Carry Optics,U,Junior,MINOR,A157095,157,7,3,4,,3,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,51,Raul Lorenzana,39.33%,327.5267,191.86,50.40%,Carry Optics,U,,MINOR,A161461,129,19,1,22,,3,6,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,52,Yihao Zuo,36.92%,307.4445,230.75,46.51%,Limited Optics,U,,MINOR,A165414,136,24,1,10,,1,2,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,53,Mark Guzman,36.62%,304.9371,250.41,46.94%,Carry Optics,D,Senior,MINOR,A158822,140,23,2,6,,1,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,54,Kolton Cox,35.68%,297.1426,69.31,45.53%,Limited Optics,A,,MINOR,A155275,63,23,3,9,,1,1,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,55,JR Roberts,35.59%,296.3344,251.66,58.53%,Limited,C,,MAJOR,TY102739,123,30,6,12,,3,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,56,Kevin Baker 1,30.60%,254.8324,106.04,38.42%,Limited Optics,C,Senior,MINOR,A95439,64,26,4,,,,,
e6c41b99-6946-4dd9-841a-0319f4201f27,GPS USPSA February 2025,2025-02-23,57,Anthonie Perla,28.82%,239.9904,267.68,122.14%,Revolver,U,,MINOR,A165552,113,37,11,10,,,2,
