match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,1,Duane Mendoza,100.00%,706.5872,75.70,120.37%,Open,B,,MAJOR,,98,38,7,2,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,2,Paul Felker,92.80%,655.7178,87.48,118.22%,Carry Optics,M,,MINOR,TY107123,122,23,,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,3,Sam Bharksuwan,85.52%,604.2752,90.00,103.20%,Open,B,,MAJOR,B51,87,47,11,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,4,Anthony Smallwood 2,85.10%,601.3320,94.00,116.21%,PCC,B,Senior,MINOR,TY94508,124,20,,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,5,Chev Jacot,84.63%,598.0014,94.70,102.07%,Open,B,,MAJOR,A72378,105,37,2,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,6,Mike Junco,84.18%,594.7733,92.82,107.63%,Carry Optics,B,,MINOR,FY34819,116,28,,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,7,Gerrit Milks,82.46%,582.6265,99.55,112.82%,PCC,,,MINOR,A67608,129,14,2,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,8,Corey Slifko,82.13%,580.3475,95.78,104.00%,Carry Optics,U,,MINOR,ty82935,121,18,1,2,,,1,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,9,Bob Zweck 3,80.15%,566.3585,98.97,109.74%,PCC,C,Senior,MINOR,A94853,125,20,,,,,2,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,10,Dave Campbell,79.78%,563.7381,95.32,96.33%,Open,M,Super Senior,MAJOR,,98,37,8,2,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,11,Tony Phan,79.24%,559.8668,92.28,100.69%,Carry Optics,A,,MINOR,FY11963,120,18,3,4,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,12,Randy Goodney,79.02%,558.3385,95.41,95.47%,Open,A,,MAJOR,A94852,100,37,4,3,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,13,Matt Lem,78.15%,552.2141,99.57,100.00%,Carry Optics,A,,MINOR,FY34763,117,25,3,,,1,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,14,Mike Wilson,75.69%,534.8308,112.83,103.12%,PCC,B,Super Senior,MINOR,TY84396,139,6,,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,15,Mike Kahl,73.79%,521.4018,109.66,94.46%,Carry Optics,U,Super Senior,MINOR,TY70984,125,16,4,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,16,Jason Bright,73.11%,516.5945,102.86,93.78%,Carry Optics,B,"Law Enforcement, Junior",MINOR,A93447,114,27,2,2,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,17,Derek Rabuck,71.67%,506.3913,104.33,86.53%,Open,U,,MAJOR,A91331,95,39,9,2,,,1,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,18,Roman Gwiscz,70.99%,501.6383,95.22,90.80%,Carry Optics,A,,MINOR,L4670,109,24,8,4,,2,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,19,Jerry McClain,70.18%,495.9166,112.44,95.44%,PCC,B,,MINOR,A48726,110,30,4,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,20,Glenn Cunningham,69.49%,491.0320,118.32,94.54%,PCC,C,Super Senior,MINOR,A78280,125,19,1,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,21,Pat Byrne,69.14%,488.5275,110.80,120.76%,Limited,B,,MAJOR,FY93921,95,38,11,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,22,Jon Baguio 1,69.08%,488.1315,102.56,88.30%,Carry Optics,C,,MINOR,,103,33,7,2,,1,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,23,Q Nguyen,68.46%,483.7212,117.17,82.12%,Open,,,MAJOR,,115,21,8,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,24,Ashley Sullivan,61.47%,434.3310,131.25,120.83%,Limited 10,C,Lady,MINOR,,121,22,2,,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,25,Chris Nagala,60.52%,427.6266,130.35,76.83%,Carry Optics,C,,MINOR,TY97712,119,22,2,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,26,Ramil Villanueva,58.91%,416.2773,120.00,75.10%,Carry Optics,D,,MINOR,,108,31,2,4,,1,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,27,Stefan Liming 3,57.98%,409.6498,141.38,74.05%,Carry Optics,C,Military,MINOR,A71566,130,11,,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,28,Mick Sambasile,56.55%,399.5810,139.65,68.16%,Open,C,,MAJOR,TY47665,106,32,6,1,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,29,Peter Paul Alcazaren 2,56.12%,396.5511,124.79,71.65%,Carry Optics,D,,MINOR,TY69476,108,25,8,4,,,,
eb2262ba-3b14-4688-8615-c936afbeed70,BAPS USPSA September,2020-09-19,30,Cecil (Jay) Olmstead,55.47%,391.9182,161.95,75.26%,PCC,B,Super Senior,MINOR,L3738,132,12,1,,,,,
