match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,1,Bobby Ivester,100.00%,665.2934,89.58,95.70%,Open,M,,MAJOR,A101336,92,44,5,1,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,2,Lan Nguyen,92.13%,612.9226,95.87,88.11%,Open,A,,MAJOR,Ty81359,103,32,4,3,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,3,August Balagtas,91.15%,606.4408,95.36,87.32%,Open,M,,MAJOR,L3674,97,36,7,2,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,4,Mike Whitesides,90.11%,599.4916,91.23,86.26%,Open,A,,MAJOR,TY81358,93,41,4,4,,1,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,5,Wade Pruetz 2,90.08%,599.3066,105.21,86.22%,Open,A,Senior,MAJOR,TY79055,111,26,5,,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,6,Kevin Bunurai,89.86%,597.8018,94.77,90.59%,Carry Optics,M,,MINOR,TY105111,114,20,5,3,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,7,Mike Junco,87.39%,581.4168,101.85,87.98%,Carry Optics,M,Law Enforcement,MINOR,TY34819,110,30,1,1,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,8,Ralph Migrino,86.38%,574.6481,112.49,86.82%,Carry Optics,U,Military,MINOR,A132627,120,20,2,,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,9,Jim Havens,84.67%,563.3075,103.51,85.26%,Carry Optics,G,Senior,MINOR,Ty114636,115,17,8,2,,,,
eda81d6d-40cc-414c-9948-bb349af0898c,GPS USPSA July 2022,2022-07-24,10,Marco Yue 1,83.91%,558.2605,87.87,93.52%,PCC,A,,MINOR,TY109190,107,22,7,6,,,1,
