match_id,match_name,match_date,rank,Name,%,Pts,Time,% psbl,Div,Class,Cats,PF,Mem #,A,C,D,M,NPM,NS,Proc,Apen
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,1,Michael Hanover,100.00%,859.1800,115.48,123.05%,Open,A,,MAJOR,A146302,134,39,2,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,2,Bobby Ivester,97.44%,837.1455,119.12,119.90%,Open,M,,MAJOR,A101336,129,41,6,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,3,Travis McKenzie,92.02%,790.6306,119.71,113.24%,Open,U,,MAJOR,L6340,121,49,5,1,,2,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,4,Bobby Ivester,87.65%,753.1109,121.14,125.71%,PCC,A,,MINOR,A101336,120,47,9,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,5,Leo Garra,87.07%,748.1128,132.60,107.12%,Open,C,,MAJOR,A104164,133,37,5,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,6,Vinh Lam,86.41%,742.4335,124.64,114.58%,Limited Optics,A,,MINOR,Ty101025,136,33,5,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,7,Craig Bellamy,84.81%,728.6503,121.61,115.03%,Carry Optics,M,Law Enforcement,MINOR,Ty54824,131,39,2,4,,1,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,8,Chez Chike-Udenze,83.53%,717.6970,122.71,110.19%,Limited Optics,M,,MINOR,A138598,123,46,4,3,,,1,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,9,Adam Bandiera,83.25%,715.2950,136.99,110.34%,Limited Optics,A,,MINOR,A148375,147,27,1,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,10,Daniell Gianelloni,82.39%,707.9189,133.90,112.28%,Carry Optics,A,Law Enforcement,MINOR,FY134287,136,37,3,,,1,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,11,Andrew Whitley 2,81.95%,704.0658,138.81,100.83%,Open,,,MAJOR,,126,40,10,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,12,Andy Chen,81.38%,699.1584,143.01,108.17%,Limited Optics,A,,MINOR,A86721,144,27,5,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,13,Joseph White,80.43%,691.0642,133.76,109.52%,Carry Optics,B,Law Enforcement,MINOR,A135489,131,36,8,1,,,1,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,14,Anthony Giuliano,80.12%,688.4142,136.97,109.20%,Carry Optics,A,Law Enforcement,MINOR,A152263,133,37,5,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,15,Robert Layton,79.84%,685.9919,149.18,106.34%,Limited Optics,B,Law Enforcement,MINOR,TY143915,155,20,1,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,16,Andrew Yeh,79.33%,681.6162,136.40,105.35%,Limited Optics,B,,MINOR,TY128067,124,47,5,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,17,Jose Onia,78.83%,677.2806,132.60,104.63%,Limited Optics,C,,MINOR,A134359,133,38,1,4,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,18,Jon Baguio,78.25%,672.2838,136.66,96.20%,Open,C,,MAJOR,X,110,54,9,3,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,19,Brandon Foss,77.82%,668.6104,141.03,105.60%,Carry Optics,M,,MINOR,L5142,127,44,4,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,20,Jason Bright,77.51%,665.9740,139.62,104.98%,Carry Optics,A,,MINOR,A93447,139,31,3,3,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,21,Zachary Ralston,77.31%,664.2579,138.83,102.11%,Limited Optics,U,,MINOR,A123081,144,25,3,4,,,2,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,22,Jim Havens,77.04%,661.9206,141.46,102.96%,Limited Optics,,Senior,MINOR,,141,30,2,3,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,23,Karys Bellamy,76.96%,661.2561,135.85,102.15%,Limited Optics,B,"Lady, Junior",MINOR,Ty130774,124,46,5,1,,1,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,24,Steve McNamara,75.03%,644.6550,155.80,92.32%,Open,B,,MAJOR,A75212,143,29,3,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,25,Phillip Nguyen,74.29%,638.3262,133.56,98.22%,Limited Optics,B,,MINOR,TY152423,112,51,11,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,26,Qingbang Cai,73.21%,629.0052,141.67,90.07%,Open,A,,MINOR,A148273,125,41,8,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,27,Abe Valdez 1,73.05%,627.6064,147.97,99.40%,Carry Optics,B,,MINOR,A148541,142,27,4,3,,,1,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,28,Heath Helgeson,72.27%,620.9033,142.21,95.46%,Limited Optics,U,,MINOR,A149129,123,44,6,3,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,29,Arnold Gee 3,71.88%,617.5883,152.21,88.32%,Open,B,Senior,MAJOR,A103519,108,61,5,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,30,Hayden Adamson,70.97%,609.7318,160.19,94.70%,Limited Optics,U,,MINOR,A142273,139,33,4,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,31,Tyler Kenny,70.88%,608.9477,153.23,94.43%,Limited Optics,B,,MINOR,,143,29,1,3,,2,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,32,Jack Liu,70.06%,601.9380,150.47,101.60%,PCC,A,Law Enforcement,MINOR,,132,41,1,2,,,1,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,33,Stormtrooper Qian,69.62%,598.1867,158.76,92.55%,Limited Optics,C,,MINOR,A150939,141,32,2,1,,1,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,34,Jeremiah Hunt,68.42%,587.8860,162.41,84.16%,Open,U,,MAJOR,A148592,114,53,5,4,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,35,Eric Wu 3,67.15%,576.9450,157.57,89.05%,Limited Optics,B,,MINOR,FY104740,128,40,6,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,36,John Ren,66.12%,568.1191,156.81,90.17%,Carry Optics,U,,MINOR,,119,47,9,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,37,Michael Pontious,65.98%,566.9178,165.10,87.78%,Limited Optics,B,Senior,MINOR,A94575,120,53,3,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,38,Don Sanders 1,65.84%,565.6901,160.56,81.03%,Open,B,Senior,MAJOR,FY46389,109,55,8,4,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,39,Amber Chike-Udenze,65.24%,560.5249,152.75,94.76%,PCC,C,,MINOR,A138974,120,48,4,4,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,40,rommel Mercado,64.71%,555.9979,171.29,125.71%,Single Stack,B,,MAJOR,A70687,123,45,6,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,41,Jun Wu,64.43%,553.5689,166.53,85.42%,Limited Optics,C,,MINOR,A104927,123,49,3,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,42,Marco Yue,64.04%,550.2534,174.00,85.35%,Limited Optics,U,,MINOR,L5762,144,24,6,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,43,Doug Joder,63.61%,546.5198,166.64,92.24%,PCC,B,,MINOR,TY115020,133,37,4,2,,,1,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,44,Marlon Pors,63.02%,541.4773,149.47,83.43%,Limited Optics,C,Law Enforcement,MINOR,Ty1234,119,41,10,6,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,45,Gary Wu,62.51%,537.0384,156.43,119.55%,Limited,B,Senior,MINOR,L2998,122,41,8,5,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,46,Erwin Gonzalez,62.44%,536.4433,179.93,84.83%,Carry Optics,C,Law Enforcement,MINOR,A93987,148,24,2,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,47,Kim Ivester,62.18%,534.2121,178.56,76.51%,Open,B,Lady,MAJOR,L4935,119,46,10,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,48,Kelly Hines,61.57%,528.9652,168.19,83.48%,Carry Optics,U,"Junior, Military",MINOR,A164716,142,28,1,5,,1,1,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,49,Cliff Pinsent,60.19%,517.1078,187.76,79.98%,Limited Optics,C,Distinguished Senior,MINOR,FY99321,139,33,4,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,50,Kacie Tapanila,59.38%,510.1927,179.91,80.40%,Carry Optics,B,Lady,MINOR,A135389,130,39,5,2,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,51,Anthony Smallwood,59.10%,507.7981,207.16,85.58%,PCC,B,Super Senior,MINOR,TY94508,161,15,,,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,52,Jerry Bedro,58.85%,505.6277,129.60,72.43%,Open,C,,MAJOR,A98263,108,34,7,5,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,53,Cody Beall,58.14%,499.4909,188.27,79.47%,Carry Optics,U,Law Enforcement,MINOR,,131,40,4,1,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,54,Waltz Noguerra,57.61%,495.0023,178.77,78.35%,Carry Optics,C,,MINOR,A137731,124,46,3,3,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,55,Kristen Day,57.07%,490.3554,182.90,111.77%,Limited,B,,MINOR,Ty121933,117,54,5,,,1,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,56,Albert Legislador,55.88%,480.1504,220.35,79.48%,PCC,C,Senior,MINOR,TY91787,144,29,,3,,,,
f4f18790-6348-487f-9741-f854ed5cd7f7,Wallis Orchard FEB USPSA Match,2025-02-16,57,christopher bulkley,55.80%,479.4631,191.01,74.10%,Limited Optics,C,,MINOR,A159469,131,40,3,2,,,,
